ID,Source,Questionaire name,Website/Source,Variable/Variable Question,Activity,Environment,Physical Function,Other Keyword,Comments,PAQ = physical activity questionnaire
911,,,,About how many times per month did you walk for at least 10 minutes or more....,"walk, or, more....",,,,,
912,,,,When you did walk for how many minutes did you do it?,walk,,,,,
913,,Walking Adherence Questionaire,http://appliedresearch.cancer.gov/paq/q068.html,The walking routine that I try to complete consists of walking: (# days a week),walking,,,,,
914,,,,The walking routine that I try to complete consists of walking: (# minutes),walking,,,,,
915,,,,The walking routine that I try to complete consists of walking:(How many miles each session?),walking,,,,,
916,,Techumseh Occupational PAQ,http://appliedresearch.cancer.gov/paq/q067.html,Check the months you used this kind of transportation to and from each job. Walk,, to and from each job,, Walk,,
917,,,,Check the months you used this kind of transportation to and from each job. Bicycle,, to and from each job,,Bicycle,,
918,,,,What is the approximate round trip distance that you walked to and from each of your jobs in miles or blocks?,walk,,,,,
919,,,,What is the approximate round trip distance that you bicycled to and from each of your jobs in miles or blocks?,bicycle,,,,,
920,,,,"In the months that you walked to work, how many times per month did you usually do this?",walk,,,,,
921,,,,"In the months that you bicycled to work, how many times per month did you usually do this?",bicycle,,,,,
922,,,,"PA at work in the past 12 months: Walking at work, not carrying anything (between buildings/in hallways/roving store clerk)","Physical activity, walking, not carrying anything",,,,,
923,,,,"Hours per week you spend walking at work, not carrying anything (between buildings/in hallways/roving store clerk)","walking, not carrying anything ",,,,,
924,,,,"PA at work in the past 12 months: Walking at work, carrying something (trays, dishes)"," Walking, carrying something",,,,,
925,,,,"Hours per week you spend walking at work, carrying something (trays, dishes)"," Walking, carrying something",,,,,
926,,,,"PA at work in the past 12 months: Standing or walking at work, carrying objects 25 pounds.","standing, walking ",,,,,
927,,,,"Hours per week you spend standing or walking at work, carrying objects 25 pounds.","standing, walking ",,,,,
928,,,,"PA at work in the past 12 months: Standing or walking at work, carrying objects 50 pounds.",,work ,,"physical activity, standing, walking ",,
929,,,,"Hours per week you spend standing or walking at work, carrying objects 50 pounds.","standing, walking, carrying",,,,,
930,,,,"PA at work in the past 12 months: Standing or walking at work, carrying objects 75 pounds.","standing, walking, carrying",,,,,
931,,,,"Hours per week you spend standing or walking at work, carrying objects 75 pounds.","standing, walking, carrying",,,,,
932,,,,"PA at work in the past 12 months: Standing or walking at work, carrying objects 100 pounds.","standing, walking, carrying",,,,,
933,,,,"Hours per week you spend standing or walking at work, carrying objects 100 pounds.","standing, walking, carrying",,,,,
934,,Short Questionnaire to Access Health-Enhancing PA (SQUASH),http://appliedresearch.cancer.gov/paq/q064.html,How many days per week you performed the following activities: Walking to/from work or school,," work, school",,Walking,,
935,,,,Average time per day: Walking to/from work or school,,"work, school",,walking,,
936,,,,How many days per week you performed the following activities: Bicycling to/from work or school,,"work, school",,bicycling,,
937,,,,Average time per day: Bicycling to/from work or school,,"work, school",,bicycling,,
938,,,,How many days per week you performed the following activities: Walking for leisure,,leisure,,walking,,
939,,,,Average time per day: Walking for leisure,,leisure,,walking,,
940,,,,How many days per week you performed the following activities: Bicycling for leisure,,leisure,,bicycling,,
941,,,,Average time per day: Bicycling for leisure,,leisure,,bicycling,,
942,,Quantitative PA Recall Questions - Aerobics Center Longitudinal Study,http://appliedresearch.cancer.gov/paq/q060.html,"For the last 3 months, which of the following activities have you preformed regularly: Walking?",walking,,,,,
943,,,,"For walking, how many workouts per week?",walking,,,,,
944,,,,"For walking, how many miles per workout?",walking,,,,,
945,,,,"For walking, the average duration per workout?",walking,,,,,
946,,,,"For the last 3 months, which of the following activities have you preformed regularly: Bicycling?",bicycling,,,,,
947,,,,"For bicycling, how many workouts per week?",bicycling,,,,,
948,,,,"For bicycling, how many miles per workout?",bicycling,,,,,
949,,,,"For bicycling, the average duration per workout?",bicycling,,,,,
950,,Postmenopausal Osteopenia PAQ,http://appliedresearch.cancer.gov/paq/q058.html,"At work, how many hours per week do you spend walking?",,work,,walking,,
951,,,,"On your way to and from work, how long do you spend per week walking?",,On your way to and from work,,walking,,
952,,,,"On your way to and from work, how long do you spend per week cycling?",,On your way to and from work,,cycling,,
953,,,,Leisure time activities: how long do you spend walking in an average week?,,Leisure time activities,,walking,,
954,,,,Leisure time activities: how long do you spend cycling in an average week?,,Leisure time activities,,cycling,,
955,,PA Scale for the Elderly (PASE),http://appliedresearch.cancer.gov/paq/q056.html,"Over the past 7 days, how often did you take a walk outside your home or yard for any reason?",,outside your home,,walk,,
956,,,,"Over the past 7 days, how often did you take a walk outside your home or yard for any reason; On average, how many hours per day did you spend walking?",," outside your home, yard",,walk,,
957,,,,"Over the past 7 days, how often did you engage in strenuous sport activities (cycling)take a walk outside?","cyclng, walk, strenuous activities ",,,,,
958,,,,"Over the past 7 days, how often did you engage in strenuous sport activities (cycling)take a walk outside; On average, how many hours per day did you engage in these strenuous activities?"," strenuous activities, walk ",,,,,
959,,Paffenbarger PAQ (College Alumnus Questionnaire),http://appliedresearch.cancer.gov/paq/q053.html,How may city blocks did you walk on an average day during the past year?,walk,,,city blocks,,
960,,One-Page Questionnaire of Physical Activity - Vitamins and Lifestyle (VITAL) Study,http://appliedresearch.cancer.gov/paq/q052.html,"In the past 10 years, did you walk for exercise? (At least once a week for a year)","walk, exercise",,,,,
961,,,,"How many years in the past 10 years, did you walk for exercise?","walk, exercise",,,,,
962,,,,How many days per week did you walk for exercise?,"walk, exercise",,,,,
963,,,,How many minutes per day did you walk for exercise?,"walk, exercise",,,,,
964,,,,When you walk for exercise: what is your usual pace (minutes)?,"walk, exercise",,,,,
965,,Nurses Health Study II Activity and Inactivity Questionnaire,http://appliedresearch.cancer.gov/paq/q051.html,"During the past year, what was your average time per week spent at each of the following recreational activities: walking or hiking outdoors?","recreational activities, walking, hiking ",,,,,
966,,,,"During the past year, what was your average time per week spent at each of the following recreational activities: bicycling (include stationary)?","recreational activities, bicycling ",,,,,
967,,,,"On average, how many hours per week do you spend: walking around at work?",,work ,,walking,,
968,,,,"On average, how many hours per week do you spend walking around at home?",,home,,walking,,
969,,,,What is your usual walking pace outdoors?,,outdoors,,walking pace,,
970,,,,How many blocks do you walk daily?,walk,,,,,
971,Dr. James Sallis,San Diego Health & Exercise Survey,http://www.drjamessallis.sdsu.edu/Documents/S.D.%20Health%20&%20Exercise%20Survey.pdf,"Do you need to limit your physical activity because of an illness, injury or handicap?",,," illness, injury, handicap",physical activity,,
972,http://www.drjamessallis.sdsu.edu/measures.html,,,"On a work day, about how much time do you spend doing the following: (walking)",walking,,,,,
973,,,,"On a work day, about how much time do you spend doing the following: (lifting or carrying heavy things)","lifting, carrying ",,,,,
974,,,,"On a work day, about how much time do you spend doing the following: (other strenuous tasks)",strenuous tasks,,,,,
975,,,,Number of minutes per week(All walking to and/or from work and school),,"work, school",,walking ,,
976,,,,Number of minutes per week(walking during breaks and/or lunch time),,"work, school",,walking during breaks and/or lunch time,,
977,,,,Number of minutes per week(walking as part of errands performed outside of your yard and household),,"yard, household",,walking as part of errands,,
978,,,,Did it (all walking to and/or from work and school) usually cause a large increase in your heart rate or breathing?,,"work, school",,"walking, heart rate, breathing",,
979,,,,Did it (walking during breaks and/or lunch time) usually cause a large increase in your heart rate or breathing?,,"during breaks, lunch time ",,"walking, heart rate, breathing",,
980,,,,Did it (walking as part of errands performed outside of your yard and household) usually cause a large increase in your heart rate or breathing?,,errands performed outside of your yard and household,,"walking, heart rate, breathing",,
981,,,,How many times in the past 2 weeks did you do the activity(walking for exercise)?,"activity,walking for exercise",,,,,
982,,,,How many times in the past 2 weeks did you do the activity(jogging or running)?,"activity, jogging, running",,,,,
983,,,,How many times in the past 2 weeks did you do the activity(hiking)?," activity, hiking",,,,,
984,,,,How many times in the past 2 weeks did you do the activity(gardening or yard work)?," activity, gardening, yard work",,,,,
985,,,,How many times in the past 2 weeks did you do the activity(aerobics or aerobic dancing)?," activity, aerobics, aerobic dancing",,,,,
986,,,,How many times in the past 2 weeks did you do the activity(other dancing)?," activity, other dancing, dancing",,,,,
987,,,,How many times in the past 2 weeks did you do the activity(calisthenics or general exercise)?,"activity, calisthenics, general exercise",,,,,
988,,,,How many times in the past 2 weeks did you do the activity(golf)?," activity, golf",,,,,
989,,,,How many times in the past 2 weeks did you do the activity(tennis)?,"activity, tennis",,,,,
990,,,,How many times in the past 2 weeks did you do the activity(bowling)?,"activity, bowling",,,,,
991,,,,How many times in the past 2 weeks did you do the activity(biking or exercise cycling)?," activity, biking, exercise, cycling",,,,,
992,,,,How many times in the past 2 weeks did you do the activity(swimming or water exercises)?,"activity, swimming, water exercise",,,,,
993,,,,How many times in the past 2 weeks did you do the activity(yoga)?," activity, yoga",,,,,
994,,,,How many times in the past 2 weeks did you do the activity(weight lifting or training)?,"activity, weight lifting, training",,,,,
995,,,,How many times in the past 2 weeks did you do the activity(basketball)?,"activity, basketball",,,,,
996,,,,How many times in the past 2 weeks did you do the activity(baseball or softball)?," activity, baseball, softball",,,,,
997,,,,How many times in the past 2 weeks did you do the activity(football)?,"activity, football",,,,,
998,,,,How many times in the past 2 weeks did you do the activity(soccer)?,"activity, soccer",,,,,
999,,,,How many times in the past 2 weeks did you do the activity(volleyball)?,"activity, volleyball",,,,,
1000,,,,"How many times in the past 2 weeks did you do the activity(handball, racquetball, or squash)?","activity, handball, racquetball, squash",,,,,
1001,,,,How many times in the past 2 weeks did you do the activity(skating)?," activity, skating",,,,,
1002,,,,How many times in the past 2 weeks did you do the activity(skiing)?,"activity, skiing",,,,,
1003,,,,How many times in the past 2 weeks did you do the activity(rowing)?,"activity, rowing",,,,,
1004,,,,How many times in the past 2 weeks did you do the activity(surfing or boogieboarding)?," activity, surfing, boogieboarding",,,,,
1005,,,,How many times in the past 2 weeks did you do the activity(other_)?,"activity, other",,,,,
1006,,,,"When you did this activity(walking for exercise), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing","activity, walking for exercise",,
1007,,,,"When you did this activity(jogging or running), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing","activity, jogging, running",,
1008,,,,"When you did this activity(hiking), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing","activity, hiking",,
1009,,,,"When you did this activity(gardening or yard work), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing","activity, gardening, yard work",,
1010,,,,"When you did this activity(aerobics or aerobic dancing), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing","acivity, aerobics, aerobic dancing",,
1011,,,,"When you did this activity(other dancing), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing"," activity, other dancing",,
1012,,,,"When you did this activity(calisthenics or general exercise), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing","activity, calisthenics, general exercise",,
1013,,,,"When you did this activity(golf), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing","activity, golf",,
1014,,,,"When you did this activity(tennis), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing","activity, tennis",,
1015,,,,"When you did this activity(bowling), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing"," activity, bowling",,
1016,,,,"When you did this activity(biking or exercise cycling), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing","activity, biking, exercise cycling",,
1017,,,,"When you did this activity(swimming or water exercises), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing"," activity, swimming, water exercises",,
1018,,,,"When you did this activity(yoga), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing","activity, yoga",,
1019,,,,"When you did this activity(weight lifting or training), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing","activity, weight lifting, training",,
1020,,,,"When you did this activity(basketball), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing"," activity, basketball",,
1021,,,,"When you did this activity(baseball or softball), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing"," activity, baseball,  softball",,
1022,,,,"When you did this activity(football), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing","activity, football",,
1023,,,,"When you did this activity(soccer), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing","activity, soccer",,
1024,,,,"When you did this activity(volleyball), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing"," activity, volleyball",,
1025,,,,"When you did this activity(handball, racquetball, or squash), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing","activity, handball, racquetball,  squash",,
1026,,,,"When you did this activity(skating), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing"," activity, skating",,
1027,,,,"When you did this activity(skiing), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing","activity, skiing",,
1028,,,,"When you did this activity(rowing), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing","activity, rowing",,
1029,,,,"When you did this activity(surfing or boodieboarding), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing"," activity, surfing, boodieboarding",,
1030,,,,"When you did this activity(other_), did you have a small, medium, or large increase, or no increase at all in your heart rate or breathing?",,,"heart rate, breathing","activity, other",,
1031,,,,"Is the usual amount of activity you did in the past 2 weeks more, less, or about the same as your usual exercise habits over the past year?",,,usual exercise habits,activity,,
1032,,,,"During a usual week, about how often do you do physical exercise in your free time for at least 20 minutes without stopping, which is hard enough to make your heart rate and breathing increase a large amount?",physical exercise,,,"heart rate, breathing",,
1033,,,,Where do you usually do these exercise activities(home)?,,Home,,"exercise, activities",,
1034,,,,Where do you usually do these exercise activities(work)?,,work,,"exercise, activities",,
1035,,,,"Where do you usually do these exercise activities(school, church, college or university facility)?",,"school, church, college, university facility ",,"exercise, activities",,
1036,,,,Where do you usually do these exercise activities(park)?,,park ,,"exercise, activities",,
1037,,,,Where do you usually do these exercise activities(commercial facility or private club)?,,"commercial facility, private club",,"exercise, activities",,
1038,,,,Where do you usually do these exercise activities(outside using no special facility)?,,outside using no special facilit,,"exercise, activities",,
1039,,,,Where do you usually do these exercise activities(free recreational activity)?,,free recreational activity,,"exercise, activities",,
1040,,,,Where do you usually do these exercise activities(other)?,,other ,,"exercise, activities",,
1041,,,,"Compared to others of your age and sex, would you say you are: much less active?",,,Compared to others of your age and sex,active,,
1042,,,,"Compared to others of your age and sex, would you say you are: somewhat less active?",,,Compared to others of your age and sex,active,,
1043,,,,"Compared to others of your age and sex, would you say you are: about as active?",,,Compared to others of your age and sex,active,,
1044,,,,"Compared to others of your age and sex, would you say you are: somewhat more active?",,,Compared to others of your age and sex,active,,
1045,,,,"Compared to others of your age and sex, would you say you are: much more active?",,,Compared to others of your age and sex,active,,
1046,,,,When you were an adolescent (age 13 - 18) how active were you compared to others of your same age and sex: much less active?,,,"adolescent, age 13 - 18","active, same age and sex",,
1047,,,,When you were an adolescent (age 13 - 18) how active were you compared to others of your same age and sex: somewhat less active?,,,"adolescent, age 13 - 18","active, same age and sex",,
1048,,,,When you were an adolescent (age 13 - 18) how active were you compared to others of your same age and sex: about as active?,,,"adolescent, age 13 - 18","active, same age and sex",,
1049,,,,When you were an adolescent (age 13 - 18) how active were you compared to others of your same age and sex: somewhat more active?,,,"adolescent, age 13 - 18","active, same age and sex",,
1050,,,,When you were an adolescent (age 13 - 18) how active were you compared to others of your same age and sex: much more active?,,,"adolescent, age 13 - 18","active, same age and sex",,
1051,,,,"If physical education classes were offered in elementary school, did you participate regularly?",,elementary school,,physical education classes,,
1052,,,,"If physical education classes were offered in high school, did you participate regularly?",,high school,,physical education classes,,
1053,,,,"If physical education classes were offered in after high school, did you participate regularly?",,after high school,,physical education classes,,
1054,,,,"If physical education classes were offered in elementary school, did you enjoy them?",,elementary school,,physical education classes,,
1055,,,,"If physical education classes were offered in high school, did you enjoy them?",,high school,,physical education classes,,
1056,,,,"If physical education classes were offered in after high school, did you enjoy them?",,after high school,,physical education classes,,
1057,,,,"If school or organized sports such as Little League baseball were offered in elementary school, did you participate regularly?",,elementary school,,"Little League baseball, organized sports",,
1058,,,,"If school or organized sports such as Little League baseball were offered in high school, did you participate regularly?",,high school,,"Little League baseball, organized sports",,
1059,,,,"If school or organized sports such as Little League baseball were offered in after high school, did you participate regularly?",,after high school,,"Little League baseball, organized sports",,
1060,,,,"If school or organized sports such as Little League baseball were offered in elementary school, did you enjoy them?",,elementary school,,"Little League baseball, organized sports",,
1061,,,,"If school or organized sports such as Little League baseball were offered in high school, did you enjoy them?",,high school,,"Little League baseball, organized sports",,
1062,,,,"If school or organized sports such as Little League baseball were offered in after high school, did you enjoy them?",,after high school,,"Little League baseball, organized sports",,
1063,,,,"If unorganized activities scuh as backyard football were offered in elementary school, did you participate regularly?",,elementary school,,"unorganized activities, backyard football",,
1064,,,,"If unorganized activities scuh as backyard football were offered in high school, did you participate regularly?",,high school,,"unorganized activities, backyard football",,
1065,,,,"If unorganized activities scuh as backyard football were offered in after high school, did you participate regularly?",,after high school,,"unorganized activities, backyard football",,
1066,,,,"If unorganized activities scuh as backyard football were offered in elementary school, did you enjoy them?",,elementary school,,"unorganized activities, backyard football",,
1067,,,,"If unorganized activities scuh as backyard football were offered in high school, did you enjoy them?",,high school,,"unorganized activities, backyard football",,
1068,,,,"If unorganized activities scuh as backyard football were offered in after high school, did you enjoy them?",,after high school,,"unorganized activities, backyard football",,
1069,,,,"When you were younger than 18, how often did each of the following people (mother) encourage you to do physical activities?",physical activities,,,"mother,  you were younger than 18",,
1070,,,,"When you were younger than 18, how often did each of the following people (father) encourage you to do physical activities?",physical activities,,,"father,  you were younger than 18",,
1071,,,,"When you were younger than 18, how often did each of the following people (sister(s)) encourage you to do physical activities?",physical activities,,,"sister, sisters, you were younger than 18",,
1072,,,,"When you were younger than 18, how often did each of the following people (brother(s)) encourage you to do physical activities?",physical activities,,,"brother, brothers, you were younger than 18",,
1073,,,,"When you were younger than 18, how often did each of the following people (friend(s)) encourage you to do physical activities?",physical activities,,,"friends, friend, you were younger than 18",,
1074,,,,"When you were younger than 18, how often did each of the following people (mother) do physical activies with you?",physical activities,,,"mother,  you were younger than 18",,
1075,,,,"When you were younger than 18, how often did each of the following people (father) do physical activies with you?",physical activities,,,"father,  you were younger than 18",,
1076,,,,"When you were younger than 18, how often did each of the following people (sister(s)) do physical activies with you?",physical activities,,,"sister, sisters, you were younger than 18",,
1077,,,,"When you were younger than 18, how often did each of the following people (brother(s)) do physical activies with you?",physical activities,,,"brother, brothers, you were younger than 18",,
1078,,,,"When you were younger than 18, how often did each of the following people (friend(s)) do physical activies with you?",,"friends, friend, you were younger than 18",,physical activities,,
1079,,,,How often were you forced to exercise or play sports (Never)?,,,forced to ,"exercise, play sports",,
1080,,,,How often were you forced to exercise or play sports (Rarely)?,,,forced to ,"exercise, play sports",,
1081,,,,How often were you forced to exercise or play sports (Sometimes)?,,,forced to ,"exercise, play sports",,
1082,,,,How often were you forced to exercise or play sports (Often)?,,,forced to ,"exercise, play sports",,
1083,,,,How often were you forced to exercise or play sports (Very Often)?,,,forced to ,"exercise, play sports",,
1084,,,,Have you exercised regularly for 6 months or more and then stopped for 3 months or more?,"exercised, exercise",,,,,
1085,,,,Why did you stop exercising last time?,,,you stop,exercising,,
1086,,,,Were you ever injured during exercise or sports so that you had to limit your physical activity for at least one month?,,, injured," exercise, sports, physical activity",,
1087,,,,How often does (Self conscious about my looks when I exercise) prevent you from getting exercise?,,,Self conscious about my looks,"exercising, exercise",,
1088,,,,How often does (lack of interest in exercise) prevent you from getting exercise?,,,lack of interest in exercise,"exercising, exercise",,
1089,,,,How often does (lack of self-discipline) prevent you from getting exercise?,,,lack of self-discipline,"exercising, exercise",,
1090,,,,How often does (lack of time) prevent you from getting exercise?,,lack of time,,"exercising, exercise",,
1091,,,,How often does (lack of energy) prevent you from getting exercise?,,,lack of energy,"exercising, exercise",,
1092,,,,How often does (lack of company) prevent you from getting exercise?,,"company, lack of company",,"exercising, exercise",,
1093,,,,How often does (lack of enjoyment from exercise) prevent you from getting exercise?,,,lack of enjoyment from exercise,"exercising, exercise",,
1094,,,,How often does (discouragement) prevent you from getting exercise?,,discouragement,,"exercising, exercise",,
1095,,,,How often does (lack of equipment) prevent you from getting exercise?,,"lac of equipment, equipment",,"exercising, exercise",,
1096,,,,How often does (lack of good weather) prevent you from getting exercise?,,weather,,"exercising, exercise",,
1097,,,,How often does (lack of skills) prevent you from getting exercise?,,"skills, lack of skills",,"exercising, exercise",,
1098,,,,How often does (lack of facillities or space) prevent you from getting exercise?,," facillities,  space, lack of facilities, lack of space",,"exercising, exercise",,
1099,,,,How often does (lack of knowledge on how to exercise) prevent you from getting exercise?,,,"knowledge, lack of knowledge on how to exercise","exercising, exercise",,
1100,,,,How often does (lack of good health) prevent you from getting exercise?,,,"health, lack of good health","exercising, exercise",,
1101,,,,How often does (fear of injury) prevent you from getting exercise?,,,"fear of injury, Injury","exercising, exercise",,
1102,,,,This section is about some possible effects of regular exercise. Please mark if you agree with each statement and if each statement is important to you. I will feel less depressed and/or bored,,,agree with each statement, less depressed and/or bored,,
1103,,,,This section is about some possible effects of regular exercise. Please mark if you agree with each statement and if each statement is important to you. I will improve my self-esteem.,,,agree with each statement,self-esteem,,
1104,,,,This section is about some possible effects of regular exercise. Please mark if you agree with each statement and if each statement is important to you. I will meet new people.,,,agree with each statement, meet new people,,
1105,,,,This section is about some possible effects of regular exercise. Please mark if you agree with each statement and if each statement is important to you. I will lose weight or improve my shape.,,,agree with each statement,"lose weight, improve my shape",,
1106,,,,This section is about some possible effects of regular exercise. Please mark if you agree with each statement and if each statement is important to you. I will build up muscle strength.,,,agree with each statement,muscle  ,,
1107,,,,This section is about some possible effects of regular exercise. Please mark if you agree with each statement and if each statement is important to you. I will feel less tension and stress.,,,agree with each statement,"tension, stress",,
1108,,,,This section is about some possible effects of regular exercise. Please mark if you agree with each statement and if each statement is important to you. I will improve my health or reduce my risk of disease.,,,agree with each statement,"health, risk of disease",,
1109,,,,This section is about some possible effects of regular exercise. Please mark if you agree with each statement and if each statement is important to you. I will do better on my job.,,,agree with each statement,job,,
1110,,,,This section is about some possible effects of regular exercise. Please mark if you agree with each statement and if each statement is important to you. I will feel more attractive. ,,,agree with each statement,"feel, attractive",,
1111,,,,This section is about some possible effects of regular exercise. Please mark if you agree with each statement and if each statement is important to you. I will improve my heart and lung fitness. ,,,agree with each statement,"heart, lung fitness",,
1112,,,,"This section is about exercising regularly in different situations. For each item, please mark how sure you are that you would exercise in that situation. Mark one number for each item: I would exercise even though I am feeling sad or highly stressed.",,," feeling sad, highly stressed",exercise,,
1113,,,,"This section is about exercising regularly in different situations. For each item, please mark how sure you are that you would exercise in that situation. Mark one number for each item: I would stick to my exercise program even when family or social life takes a lot of my time. ",,,how sure you are ,"family, social life takes, exercise ",,
1114,,,,"This section is about exercising regularly in different situations. For each item, please mark how sure you are that you would exercise in that situation. Mark one number for each item: I will set aside time for regular exercise. ",,,how sure you are ,exercise,,
1115,,,,Please mark if you agree with the following statements: Members of my family think I should exercise regularly.,,Members of my family,,exercise,,
1116,,,,Please mark if you agree with the following statements: My friends and acquaintances think I should exercise regularly.,,friends and acquaintances think,,exercise,,
1117,,,,Please mark if you agree with the following statements: I feel I already exercise enough.,,,feel,exercise,,
1118,,,,Please mark if you agree with the following statements: I seem to worry about my health more than other people worry about theirs.,,,worry,health,,
1119,,,,How safe is it to walk or jog alone in your neighborhood during the day?,,neighborhood,," work, jog",,
1120,,,,"Is it difficult to work or jog in your neighborhood because of things like traffic, no sidewalks, dogs, etc. ?",," traffic, no sidewalks, dogs",," work, jog",,
1121,,,,How often do you see people walking or jogging in your neighborhood?,see,,,"walking, jogging ",,
1122,,,,Are there any exercise facilities or programs where you work?,,work ,,exercise facilities,,
1123,,,,How often do you do the following? How often do you weigh yourself or measure your body shape?,"weigh, measure your body shape",,,,,
1124,,,,Please mark your answers once for family and once for friends for each of the following statements: During the past three months my family or friends: exercised with me.,,"family, friends",,"exercise, exercising",,
1125,,,,Please mark your answers once for family and once for friends for each of the following statements: During the past three months my family or friends: offered to exercise with me.,,"family, friends",,"exercise, exercising",,
1126,,,,Please mark your answers once for family and once for friends for each of the following statements: During the past three months my family or friends: Gave me encouragement to exercise. ,,"family, friends",,"exercise, exercising",,
1127,,,,Please mark your answers once for family and once for friends for each of the following statements: During the past three months my family or friends: made fun of me or criticized for exercising. ,,"family, friends",,"exercise, exercising",,
1128,,,,"Compared to others of your same age and sex, how would you rate your athletic coordination? (Much less coordinated)",,,"same age and sex, age, sex",athletic coordination,,
1129,,,,"Compared to others of your same age and sex, how would you rate your athletic coordination? (somewhat less coordinated)",,,"same age and sex, age, sex",athletic coordination,,
1130,,,,"Compared to others of your same age and sex, how would you rate your athletic coordination? (about the same coordination)",,,"same age and sex, age, sex",athletic coordination,,
1131,,,,"Compared to others of your same age and sex, how would you rate your athletic coordination? (somewhat more coordinated)",,,"same age and sex, age, sex",athletic coordination,,
1132,,,,"Compared to others of your same age and sex, how would you rate your athletic coordination? (much more coordinated)",,,"same age and sex, age, sex",athletic coordination,,
