id,,Source,Variable,Keywords,Comments,context,intensity,activity type,measure,
127,caDSR,caDSR,Do you exercise or play enough to make you sweat and breathe hard?,exercise,,fitness,enough to make you sweat and breath hard,exercise,,
374,PhenX,,Have you walked fast or briskly for exercise in the past 4 weeks?,fast walk; brisk walk; exercise,,active life; fitness,fast or briskly,fast walk; brisk walk; exercise,,
380,PhenX,,Have you swam gently in the past 4 weeks?,gentle swimming,,fitness,gentle,gentle swimming,,
358,PhenX,,Hard Activity,brisk walking (uphill); backpacking (on level ground); brisk cycling on level ground without losing breath; tennis (doubles); downhill skiing; swimming laps (moderate effort),,fitness,hard,brisk walking (uphill); backpacking (on level ground); brisk cycling on level ground without losing breath; tennis (doubles); downhill skiing; swimming laps (moderate effort),,
69,REDCap,Veterans Specific Activity Questionnaire (VSAQ),"5 METs: Heavy outdoor work (digging, spading soil), playing singles tennis, carry 60 pounds",heavy outdoor work; digging; spading soil; tennis; carry 60 pounds,,active life,heavy,heavy outdoor work; digging; spading soil; tennis; carry 60 pounds,,
369,PhenX,,Have you done heavy work around the house in the past 4 weeks?,wash windows; clean gutters; heavy work,,active life,heavy,wash windows; clean gutters; heavy work,,
66,REDCap,Veterans Specific Activity Questionnaire (VSAQ),"2 METs: Light yard work (raking leaves, weeding, pushing power mower), painting, light carpentry",Light yard work; raking leaves; weeding; pushing power mower; painting; light carpentry,,active life,light,Light yard work; raking leaves; weeding; pushing power mower; painting; light carpentry,,
356,PhenX,,Light Activity,leisurely walking; softball; bowling; playing a musical instrument; typing; standing; driving; ironing; sewing; light auto repair; indoor painting,,active life,light,leisurely walking; softball; bowling; playing a musical instrument; typing; standing; driving; ironing; sewing; light auto repair; indoor painting,,
370,PhenX,,Have you done light work around the house in the past 4 weeks?,sweep; vacuum; light work,,active life,light,sweep; vacuum; light work,,
371,PhenX,,Have you done light gardening in the past 4 weeks?,light gardening; watering plants,,active life,light,light gardening; watering plants,,
385,PhenX,,Have you done light strength training in the past 4 weeks?,hand-held weights; elastic bands; light strength training,,fitness,light,hand-held weights; elastic bands; light strength training,,
119,caDSR,caDSR,"Lower intensity exercise (yoga, stretching, Pilates, toning)",lower intensity exercise; yoga; stretching; pilated; toning,,fitness,low intensity, yoga; stretching; pilated; toning,,
160,caDSR,caDSR,"Lower intensity exercise (yoga, stretching, Pilates, toning)",lower intensity exercise; exercise; yoga; stretching; pilates; toning,,fitness,low intensity,lower intensity exercise; exercise; yoga; stretching; pilates; toning,,
219,PDBP,Godin Leisure-Time Exercise Questionnaire - mild exercise per week frequency,GENERAL (F1278): Mild Exercise (minimal effort) ----- HD (F1278): Mild Exercise (minimal effort) ----- MS (F1278): Mild Exercise (minimal effort),mild exercise; exercise,,active life,mild,activity,,
97,caDSR,caDSR,"Moderate activities, such as moving a table, pushing a vacuum cleaner, bowling, or playing golf",Moderate activities; moving a table; pushing a vacuum cleaner; bowling; playing golf,,active life ,moderate, moving a table; pushing a vacuum cleaner; bowling; playing golf,,
59,,Short Form 36,"Does your health now limit you in these activities: Moderate activities, such as moving a table, pushing a vacuum cleaner, bowling, or playing golf",moderate activities; bowling; playing golf; moving a table; pushing a vacuum cleaner,,active life ,moderate,bowling; playing golf; moving a table; pushing a vacuum cleaner,,
220,PDBP,Godin Leisure-Time Exercise Questionnaire - moderate exercise per week frequency,GENERAL (F1278): Moderate Exercise (Not exhausting) ----- HD (F1278): Moderate Exercise (Not exhausting) ----- MS (F1278): Moderate Exercise (Not exhausting),moderate exercise; exercise,,active life; fitness,moderate,exercise,,
27,,Perceived Barriers to Walking for Physical Activity,"The following survey questions have to do with moderate-intensity walking.  It is important to think clearly about the sort of walking you do in order to answer these questions accurately.  Here are a few guidelines about moderate-intensity walking.  Moderate-intensity walking is done at a medium pace (about 3 miles per hour) such as walking done for pleasure, transportation, exercise, sport, hiking, or backpacking; walking your dog; walking during lunch breaks or after dinner; walking instead of driving a short distance; and walking to and from classes.  How much do the following things prevent you from accumulating at least 30 minutes of walking throughout your daily routine? ... foot pain, perspiring in nice clothing, blisters ...",moderate-intensity walking; walking; exercise; sport; hiking; backpacking; walking your dog,,active life; fitness,moderate,walking; exercise; sport; hiking; backpacking; walking your dog,,
285,PhenX,,"How often did you participate in MODERATE exercise activities or sports (e.g., brisk walking, golf, volleyball, cycling on level streets, recreational tennis, or softball)?",moderate; moderate exercise; brisk walking; golf; volleyball; cycling on level streets; recreational tennis; softball; ,,active life; fitness,moderate,brisk walking; golf; volleyball; cycling on level streets; recreational tennis; softball; ,,
357,PhenX,,Moderate Activity,brisk walking (on level ground); shooting baskets; throwing frisbee; cycling leisurely on level ground; swimming laps (easy effort); weightlifting,,fitness,moderate,brisk walking (on level ground); shooting baskets; throwing frisbee; cycling leisurely on level ground; swimming laps (easy effort); weightlifting,,
8,,California Health Interview Survey,"The next questions are about physical activities or exercise you may do in your free time for at least 10 minutes, other than walking.  First, think about activities that take moderate physical effort, such as bicycling, dancing, swimming, and gardening.  During the last 7 days, did you do any moderate physical activities in your free time for at least 10 minutes, other than walking?",physical activities; exercise; moderate physical effort; bicycling; dancing; swimming; gardening; moderate physical activities,,active life; fitness,moderate; at least 10 min,bicycling; dancing; swimming; gardening;,,
379,PhenX,,Have you swam moderately or fast in the past 4 weeks?,moderate swimming; fast swimming,,fitness,moderate; fast,moderate swimming; fast swimming,,
384,PhenX,,Have you done moderate to heavy strength training in the past 4 weeks?,hand-held weights; weight machines; push-ups; heavy strength training; moderate strength training,,fitness,moderate; heavy,hand-held weights; weight machines; push-ups; heavy strength training; moderate strength training,,
177,caDSR,caDSR,Walking more than a mile,walking,,active life,more than a mile,walking,,
83,REDCap,"The DASH: Disabilities of the Arm, Shoulder and Hand",11. Carry a heavy object (over 10 lbs),carry a heavy object,,functional status,over 10 lbs,carry a heavy object,,
178,caDSR,caDSR,Walking several hundred yards,walking,,active life,several hundred yards,walking,,
221,PDBP,Godin Leisure-Time Exercise Questionnaire - strenuous exercise per week frequency,GENERAL (F1278): Strenuous Exercise (heart beats rapidly) ----- HD (F1278): Strenuous Exercise (heart beats rapidly) ----- MS (F1278): Strenuous Exercise (heart beats rapidly),strenuous exercise; exercise,,active life; fitness,strenuous,exercise,,
355,PhenX,,Very Hard activity (hard breathing and quick movement),very hard activity,,functional status,very hard,,,
161,caDSR,caDSR,"Any other vigorous activities (lawn mowing, etc.)",vigorous activities; lawn mowing,,active life,vigorous,vigorous activities; lawn mowing,,lawn mowing is vigorous?
359,PhenX,,Very Hard Activity,jogging; basketball; soccer; cycling; tennis; cross-country skiing; swimming laps (hard effort) aerobic dancing; circuit training,,fitness,vigorous,jogging; basketball; soccer; cycling; tennis; cross-country skiing; swimming laps (hard effort) aerobic dancing; circuit training,,
10,,California Health Interview Survey,"Now think about vigorous activities you did in your free time that take hard physical effort, such as aerobics, running, soccer, fast bicycling, or fast swimming.  Again, do not include walking.  During the last 7 days, did you do any vigorous physical activities in your free time?",vigorous activites; hard physical effort; aerobics; running; soccer; fast bicycling; fast swimming; vigorous physical activities,,fitness,vigorous, hard physical effort; aerobics; running; soccer; fast bicycling; fast swimming; ,,
92,caDSR,caDSR,"Vigorous activities, such as running, lifting heavy objects, participating in strenuous sports",vigorous activities; running; lifting heavy objects; strenuous sport;,,fitness,vigorous,running; lifting heavy objects; strenuous sport;,,
128,caDSR,caDSR,"Vigorous activities, such as runing, lifting heavy objects, participating in strenuous sports",vigorous activities; running; lifting heavy objects; strenous sports,,fitness,vigorous; strenuous; heavy,running; lifting; sports,,
343,PhenX,,"By yourself and without using any special equipment, how much difficulty do you have lifting or carrying something as heavy as 10 pounds?",lifting or carying something as heavy as 10 pounds,,functional status,weight/strength,carrying 10 lbs,,
218,PDBP,Godin Leisure-Time Exercise Questionnaire - exercise per week scale,"GENERAL (F1278): During a typical 7-Day period (a week), in your leisure time, how often do you engage in any regular activity long enough to work up a sweat (heart beats rapidly) ----- HD (F1278): During a typical 7-Day period (a week), in your leisure time, how often do you engage in any regular activity long enough to work up a sweat (heart beats rapidly) ----- MS (F1278): During a typical 7-Day period (a week), in your leisure time, how often do you engage in any regular activity long enough to work up a sweat (heart beats rapidly)",activity,,active life,work up a sweat; heart beat rapidly,activity,,
235,NCCDR,American Time Use Survey (ATUS),Meaningfulness of physical activity,physical activity,,active life,,physical activity,,
1,,PACE adolescent Sedentary Self-efficacy measure,"Rate HOW SURE you are that you can do the following in each situation: Instead of just sitting listening to music, listen while you are being active (e.g. walking or dancing)?",being active; walking; dancing,,active life,,dancing; walking,,
29,,Rapid Assessment of Physical Activity,I rarely or never do any physical activities.,physical activities,,active life,,physical activity,,
65,REDCap,Veterans Specific Activity Questionnaire (VSAQ),"1 METs: Walking slowly on a flat surface for 1-2 blocks, moderate housework (vacuum, sweeping floors, carrying groceries)","walking; ,walking slowly; housework; vacuum; sweeping floors; carring groceries",,active life,,"walking; ,walking slowly; housework; vacuum; sweeping floors; carring groceries",,
67,REDCap,Veterans Specific Activity Questionnaire (VSAQ),"3 METs: Walking briskly (4 miles in an hour), social dancing, washing a car",walking briskly; walking; social dancing; washing a car,,active life,,walking briskly; walking; social dancing; washing a car,,
68,REDCap,Veterans Specific Activity Questionnaire (VSAQ),"4 METs: Playing 9 holes of golf carrying your own clubs, heavy carpentry, mow lawn with push mower ",golf; carrying your own clubs; heavy carpentry; mow lawn with push mower,,active life,,golf; carrying your own clubs; heavy carpentry; mow lawn with push mower,,
70,REDCap,Veterans Specific Activity Questionnaire (VSAQ),"6 METs: Move heavy furniture, jog slowly, climb stairs quickly, carry 20 pounds upstairs",move heacy furniture; jog; climb stairs; carry 20 pounds upstairs,,active life,,move heacy furniture; jog; climb stairs; carry 20 pounds upstairs,,
121,caDSR,caDSR,Walking for exercise or walking to work,walking; exercise; walking for exercise; walking to work,,active life,,walking to work; walking for exercise,,
141,caDSR,caDSR,Other Activity Description,activity,,active life,,activity,,
165,caDSR,caDSR,Standing or walking around at work or away from home,standing; walking,,active life,,standing; walking,,
166,caDSR,caDSR,Standing or walking around at home,standing; walking,,active life,,standing; walking,,
171,caDSR,caDSR,Walking,walking,,active life,,walking,,
186,caDSR,caDSR,Walking up stairs,walking up stairs,,active life,,walking up stairs,,
196,caDSR,caDSR,Walk,walk,,active life,,walking,,
247,NCCDR,National Health Interview Survey (NHIS),Leisure-time physical activity (adults only),physical activity,,active life,,physical activity,,
255,NCCDR,National Survey on Recreation and the Environment,Take frequent walks in neighborhood,walks,,active life,,walking,,
259,NCCDR,Panel Study of Income Dynamics Child Development Supplement (PSID/CDS),Physical activity,Physical activity,,active life,,Physical activity,,
260,NCCDR,Panel Study of Income Dynamics Child Development Supplement (PSID/CDS),Physical activity outside of school,Physical activity,,active life,,Physical activity,,
267,NCCDR,Youth Risk Behavior Surveillance System/Youth Risk Behavior Survey (YRBSS/YRBS),Whether or not respondent engaged in exercise for the purpose of weight loss in past 30 days,exercise,,active life,,exercise,,
275,NCCDR,Behavioral Risk Factor Surveillance System (BRFSS),Occupational physical activity,physical activity; occupational physical activity,,active life,,physical activity; occupational physical activity,,
365,PhenX,,Have you played billiards or shot pool in the past 4 weeks?,shoot pool; billiards,,active life,,shoot pool; billiards,,
373,PhenX,,Have you walked uphill in the past 4 weeks?,walk uphill,,active life,,walk uphill,,
375,PhenX,,Have you walked to do errands in the past 4 weeks?,walk; errands,,active life,,walk; errands,,
376,PhenX,,Have you walked leisurely for exercise or pleasure in the past 4 weeks?,leisurely walk,,active life,,leisurely walk,,
382,PhenX,,Have you done yoga or Tai-chi in the past 4 weeks?,yoga; tai-chi,,active life,,yoga; tai-chi,,
64,REDCap,The Behavioral Risk Factor Surveillance System (BRFSS) questionnaire from CDC,"During the past month, other than your regular job, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise? ",physical activities; exercise;running;calisthenics;golf; gardening; walking; walking for exercise,,active life; fitness,,exercise;running;calisthenics;golf; gardening; walking; walking for exercise,,
71,REDCap,Veterans Specific Activity Questionnaire (VSAQ),"7 METs: Bicycling at a moderate pace, sawing wood, jumping rope (slowly)",bicycling; sawing wood; jumping rope,,active life; fitness,,bicycling; sawing wood; jumping rope,,
72,REDCap,Veterans Specific Activity Questionnaire (VSAQ),"8 METs: Brisk swimming, bicycle up a hill, walking briskly uphill, jog 6 miles per hour",brisk swimming; bicicle up a hill; walking; walking briskly uphill; jog,,active life; fitness,,brisk swimming; bicicle up a hill; walking; walking briskly uphill; jog,,
246,NCCDR,National Health and Nutrition Examination Survey (NHANES),Walking/bicycling for travel,walking; bicycling,,active life; fitness,,walking; bicycling,,
250,NCCDR,National Survey on Recreation and the Environment,Favorite outdoor activities,outdoor activities,,active life; fitness,,outdoor activities,,
252,NCCDR,National Survey on Recreation and the Environment,ChildrenÕs bicycle use in past year,bicycle,,active life; fitness,,bicycle,,
256,NCCDR,National Survey on Recreation and the Environment,Ride a bicycle to work or for other transportation,ride a bicycle,,active life; fitness,,ride a bicycle,,
364,PhenX,,"Have you played golf, riding a cart in the past 4 weeks?",golf; riding a cart,,active life; fitness,,golf; riding a cart,,
363,PhenX,,"Have you played golf, carrying or pulling your equipment in the past 4 weeks?",walking; golf; carrying or pulling your equipment,,active life; fitness,,golf; carry pulling equipment,,
236,NCCDR,Fast Response Survey System (FRSS),Efforts to encourage physical activity,physical activity,,arrangement,,physical activity,,
19,,Chronic Illness Resources Survey,"Over the past 6 months, to what extent: Have family or friends exercised with you?",exercise,,arrangement,,exercise,,delete
21,,Chronic Illness Resources Survey,"Over the past 6 months, to what extent: Have you walked or done other exercise activities with neighbors?",walk; exercise ,,arrangement,,walk; exercise ,,delete
251,NCCDR,National Survey on Recreation and the Environment,"Constraints on outdoor activities (e.g., lack of money; lack of time due to work, family, or other obligations; health restrictions; lack of companion for activity; inadequate transportation; pollution)",outdoor activities,,barrier,,outdoor activities,,not functional status
271,NCCDR,California Health Interview Survey (CHIS),Participation in sports,sports,,fitness,,sports,,
73,REDCap,Veterans Specific Activity Questionnaire (VSAQ),"9 METs: Cross country ski, play full court basketball",cross country ski; basketball,,fitness,,cross country ski; basketball,,
74,REDCap,Veterans Specific Activity Questionnaire (VSAQ),"10 METs: Running briskly, continuously (level grounds, 8 minutes per mile)",running; running briskly;,,fitness,,running; running briskly;,,
75,REDCap,Veterans Specific Activity Questionnaire (VSAQ),"11 METs: Any competitive activity with intermittent sprinting, running competitively, rowing, backpacking",sprinting; running; rowing; backpacking,,fitness,,sprinting; running; rowing; backpacking,,
227,PDBP,Child and Adolescent Scale of Participation (CASP) - school social play scale - mod baseline CHAI,"Compared to other children your child's age, what was (his/her) level of participation before the injury in social, play and recreational activities with other children at school (eg, 'hanging out,' sports, clubs, hobbies, creative arts, lunchtime or recess activities)?",sports,,fitness,,sports,,
242,NCCDR,Monitoring the Future (MTF),Participation in specific sports,sports,,fitness,,sports,,
266,NCCDR,Youth Risk Behavior Surveillance System/Youth Risk Behavior Survey (YRBSS/YRBS),Participation in sports teams during the past year (number of teams),sports team,,fitness,,sports team,,
272,NCCDR,California Health Interview Survey (CHIS),"Physical activity environment: Parks within walking distance, their safety",physical activity,,fitness,,physical activity,,
361,PhenX,,Have you danced in the past 4 weeks?,dance; square dance; folk dance; line dance; ballroom dance; aerobic dance,,fitness,,dance; square dance; folk dance; line dance; ballroom dance; aerobic dance,,
366,PhenX,,Have you played singles tennis in the past 4 weeks?,singles tennis,,fitness,,singles tennis,,
367,PhenX,,Have you played doubles tennis in the past 4 weeks?,doubles tennis,,fitness,,doubles tennis,,
368,PhenX,,Have you skated in the past 4 weeks?,skate; ice skate; roller skate; in-line skate,,fitness,,skate; ice skate; roller skate; in-line skate,,
377,PhenX,,Have you ridden a bicycle or stationary cycle in the past 4 weeks?,ride a bicycle; ride a stationary cycle,,fitness,,ride a bicycle; ride a stationary cycle,,
378,PhenX,,Have you done water exercises in the past 4 weeks?,swimming; water exercise,,fitness,,swimming; water exercise,,
381,PhenX,,Have you done stretching or flexibility exercises in the past 4 weeks?,stretching exercises; flexibility exercises,,fitness,,stretching exercises; flexibility exercises,,
383,PhenX,,Have you done aerobics or aerobic dancing in the past 4 weeks?,aerobics; aerobic dancing,,fitness,,aerobics; aerobic dancing,,
23,,Chronic Illness Resources Survey,"Over the past 6 months, to what extent: Have you attended wellness programs or fitness facilities?",fitness facilities; fitness program,,fitness,,,,
118,caDSR,caDSR,"Other aerobic exercise (aerobic dancing, ski or stair machine, etc.)",aerobic exercise; aerobic dancing; ski; stair machine,,fitness,,aerobic exercise; aerobic dancing; ski; stair machine,,
122,caDSR,caDSR,Lap swimming,lap swimming,,fitness,,lap swimming,,
123,caDSR,caDSR,Weight training or resistance exercises (including free weights or machines such as Nautilus),weight traning; resistance exercise; free weights; nautilus,,fitness,,weight traning; resistance exercise; free weights; nautilus,,
135,caDSR,caDSR,"Tennis, squash, racquetball",tennis;squash; racquetball,,fitness,,tennis;squash; racquetball,,
162,caDSR,caDSR,"Tennis, squash, racquetball",tennis; squash; racquetball,,fitness,,tennis; squash; racquetball,,
167,caDSR,caDSR,Run,run,,fitness,,run,,
243,NCCDR,National Health and Nutrition Examination Survey (NHANES),Cardiorespiratory fitness,Cardiorespiratory fitness; fitness,,fitness,,Cardiorespiratory fitness; fitness,,
372,PhenX,,Have you jogged or run in the past 4 weeks?,jog; run,,fitness,,jog; run,,
386,PhenX,,Have you done general conditioning exercises in the past 4 weeks?,light calisthenics; general conditioning exercises; chair exercises,,fitness,,light calisthenics; general conditioning exercises; chair exercises,,
387,PhenX,,"Have you played basketball, soccer, or racquetball in the past 4 weeks?",basketball; soccer; racquetball,,fitness,,basketball; soccer; racquetball,,
84,REDCap,"The DASH: Disabilities of the Arm, Shoulder and Hand",8. Garden or do yard work.,garden; yard work,,functional status,,garden; yard work,,
85,REDCap,"The DASH: Disabilities of the Arm, Shoulder and Hand","7. Do heavy household chores (e.g., wash walls, wash floors).",heavy household chores; wash walls; wash floors,,functional status,,heavy household chores; wash walls; wash floors,,
86,REDCap,"The DASH: Disabilities of the Arm, Shoulder and Hand","18. Recreational activities in which you take some force
or impact through your arm, shoulder or hand
(e.g., golf, hammering, tennis, etc.).",recreational activities; golf; hammering; tennis,,functional status,,recreational activities; golf; hammering; tennis,,
87,REDCap,"The DASH: Disabilities of the Arm, Shoulder and Hand","19. Recreational activities in which you move your arm freely (e.g., playing frisbee, badminton, etc.).",recreational activities; playing frisbee; badminton,,functional status,,recreational activities; playing frisbee; badminton,,
94,caDSR,caDSR,Lifting or carrying groceries,lifting groceries; carrying groceries,,functional status,,lifting groceries; carrying groceries,,
216,PDBP,Electrophysiology long exercise test post-exercise compound muscle action potential time,NMD (F1062): Post-Exercise ----- SMA (F1062): Post-Exercise,exercise,,stress test,,exercise,,
217,PDBP,Fatigue Severity Scale (FSS) - exercise fatigue scale,ALS (F0786): Exercise brings on my fatigue ----- GENERAL (F0786): Exercise brings on my fatigue ----- MS (F0786): Exercise brings on my fatigue ----- PD (F0786): Exercise brings on my fatigue,exercise,,stress test,,exercise,,
