ID,Source,Questionaire name,Website/Source,Variable/Variable Question,Activity,Environment,Physical Function,Other Keyword,Comments,PAQ = physical activity questionnaire,
567,,,,"On average during the summer (May-September), how often do you use a bike?",bicycling,,,,,,
568,,2002 National Survey of Pedestrian & Bicyclist Attitudes & Behaviors (NSPBAB),http://www.bts.gov/omnibus_surveys/targeted_survey/2002_national_survey_of_pedestrian_and_bicyclist_attitudes_and_behaviors/survey_questionnaire/html/questionnaire.html,"On average during the summer (May-September), how many days per week do you use a bike?",bicycling,,,,,,
569,,,,"On average during the summer (May-September), how many days per month do you use a bicycle?",bicycling,,,,,,
570,,,,"Thinking about in the past 30 days, how many of those days did you ride a bicycle?",bicycling,,,,,,
571,,,,How many days ago was the last day you rode a bike?,bicycling,,,,,,
572,,,,How many trips did you make on this most recent day you rode your bike?,bicycling,,,,,,
573,,,,"Thinking about the last day you rode your bike, what was your starting point for this trip / where did this trip end?",bicycling,,,,,,
574,,,,What time did you begin this trip/About what time did you get to your destination?,,,,,?,,
575,,,,"Thinking about the last day you rode your bike, what was the area within 1/4 mile of where you started/ended your trip?",bicycling,,,,,,
576,,,,Was the starting/ending point in a downtow-city area / urban or suburban area / rural town or farm,,,,,?,,
577,,,,What was the main purpose of this trip? Commuting to work or school/Recreation/Exercise/Personal Errands/Job/Droff off Someone/Visit a friend,,,,,?,,
578,,,,How far did you bike on this trip?,bicycling,,,,,,
579,,,,"Compared to about a year ago, would you say you are now riding a bike more often, less often or about the same amount?",bicycling,,,,,,
580,,,,"On average during the summer (May-September), how often do you walk?",walking,,,,,,
581,,2002 National Survey of Pedestrian & Bicyclist Attitudes & Behaviors (NSPBAB),http://appliedresearch.cancer.gov/paq/q050.html,"On average during the summer (May-September), how many days per week do you walk?",walking,,,,,,
582,,,,"On average during the summer (May-September), how many days per month do you walk?",walking,,,,,,
583,,,,"Thinking about in the past 30 days, how many of those days did you walk?",walking,,,,,,
584,,,,What is the primary reason you never walk in the summer? Bad weather-wrong season/ Too busy- no opportunity/ Bike is broken / No safe place to ride / Disability / Don't have access to bike / Other transportation is faster / Don't know how to ride a bike,walking,,,"bike, transportation",,,
585,,,,How many days ago was the last day you walk?,walking,,,,,,
586,,,,How many trips did you make on this most recent day you walked?,walking,,,,,,
587,,,,What was your starting point for this (walking) trip / where did this trip end?,walking,,,,,,
588,,,,What time did you begin this (walking) trip/About what time did you get to your destination?,walking,,,,,,
589,,,,Was the starting/ending point in a downtow-city area / urban or suburban area / rural town or farm (for this walking trip)?,walking,,,,?,,
590,,,,How far did you walk on this trip?,walking,,,,,,
591,,Occupational Sitting and Physical Activity Questionnaire (OSPAQ),http://download.lww.com/wolterskluwer_vitalstream_com/PermaLink/MSS/A/MSS_44_1_2011_11_15_CHAU_202132_SDC1.pdf,How many hours did you work in the last 7 days?,work,,,,,,
592,,,,"During the last 7 days, how many days were you at work?",,,,,?,,
593,,,,"How would you describe your typical work day in the last 7 days? (This involves only your work day, and does not include travel to and from work, or what you did in your leisure time) Sitting (including driving) _____ %",,sitting,,work,?,,
594,,,,"How would you describe your typical work day in the last 7 days? (This involves only your work day, and does not include travel to and from work, or what you did in your leisure time)Standing _____ %",,standing,,work,?,,
595,,,,"How would you describe your typical work day in the last 7 days? (This involves only your work day, and does not include travel to and from work, or what you did in your leisure time) Walking _____ %",,walking,,work,?,,
596,,,,"How would you describe your typical work day in the last 7 days? (This involves only your work day, and does not include travel to and from work, or what you did in your leisure time) Heavy labour or physically demanding tasks _____ %",,heavy labour,,work,?,,
597,,,,"How would you describe your typical work day in the last 7 days? (This involves only your work day, and does not include travel to and from work, or what you did in your leisure time) Total _____ %",,leisure,,work,?,,
598,,National Health Interview Survey - Adult Physical Activity Questions 2010 NHIS Sample Adult Cancer Supplement (18 years and over),http://www.cdc.gov/nchs/data/nhis/physicalactivity/pa_questions.pdf,"In the past 7 days, how many times did you do that?Ê",,,,,not clear enough,,
599,,,,"How long did that walk take?/ [On average, how long did those walks take?",walking,,,,,,
600,,,,Enter time period for length of walking for transportation.,walking,,,transportation,,,
601,,,,"Sometimes you may walk for fun, relaxation, exercise, or to walk the dog. During the past 7 days, did you walk for at least 10 minutes for any of these reasons? Please do not include walking for transportation.",walking,,,"exercise, walk dog, relaxation",,,
602,,,,"In the past 7 days, how many times did you do that?",,,,,same as 598,,
603,,,,"How long did that walk take?/ Fill2: On average, how long did those walks take?] * Enter number for length of walk for fun, relaxation, or exercise.Ê",walking,,,"fun, relaxation, exercise",,,
604,,,,"Enter time period for length of walking for fun, relaxation, or exercise.",walking,,,"fun, relaxation, exercise",,,
605,,,,Do you do any of these exercises on a regular basis - Ride a bicycle? ,bicycling,,,"exercise, walk dog, relaxation",,,
606,,,,Do you do any of these exercises on a regular basis - Do calisthenics?  ,calisthenics,,,exercise,,,
607,,,,Do you do any of these exercises on a regular basis - Jog?,jog,,,exercise,,,
608,,,,Do you do any of these exercises on a regular basis - Lift weights?  ,lift weights,,,exercise,,,
609,,,,Do you do any of these exercises on a regular basis - Swim?  ,swim,,,exercise,,,
610,,,,Do you do any of these exercises on a regular basis - Walk for exercise?   ,walk,,,exercise,,,
611,,,,Do you do any of these exercises on a regular basis - Do you do any other exercise on a regular basis?,exercise,,,,,,
612,,,,"During the past 12 months, have you participated in (any of these sports) - Basketball? ",basketball,,,sports,,,
613,,,,"During the past 12 months, have you participated in (any of these sports) - Bowling? ",bowling,,,sports,,,
614,,,,"During the past 12 months, have you participated in (any of these sports) - Football? ",football,,,sports,,,
615,,,,"During the past 12 months, have you participated in (any of these sports) - Golf? ",golf,,,sports,,,
616,,,,"During the past 12 months, have you participated in (any of these sports) - Gymnastics? ",gymnastics,,,sports,,,
617,,,,"During the past 12 months, have you participated in (any of these sports) - Handball? ",handball,,,sports,,,
618,,,,"During the past 12 months, have you participated in (any of these sports) - Soccer? ",soccer,,,sports,,,
619,,,,"During the past 12 months, have you participated in (any of these sports) - Softball? ",softball,,,sports,,,
620,,,,"During the past 12 months, have you participated in (any of these sports) - Swimming? ",swimming,,,sports,,,
621,,,,"During the past 12 months, have you participated in (any of these sports) - Tennis?",tennis,,,sports,,,
622,,,,"During the past 12 months, have you participated in (any of these sports) - Track and field? ",track and field,,,sports,,,
623,,,,"During the past 12 months, have you participated in (any of these sports) - Vollyball? ",volleyball,,,sports,,,
624,,,,"During the past 12 months, have you participated in (any of these sports) - Wrestling? ",wrestling,,,sports,,,
625,,,,"During the past 12 months, have you participated in (any of these sports) - Any other sport?  ",sports,,,,,,
626,,,,"During the past 12 months, have you participated in (any of these sports) - Baseball? ",baseball,,,sports,,,
627,,,,Did you participate inÑas a member of an organized team during the past 12 months?,participation,,,team,,,
628,,,,Did you participate in anyÑtournaments either as an individual or as a member of a team during the past 12 months?,participation,,,team,,,
629,,,,"Would you say that you are physically more active, less active or about as active as other persons your age?",,,active,physically,,,
630,,,,"Compared to other people your age, would you say you are physically more active, less active, or about as active?",,,,,same as 629,,
631,,,,"Compared to other people your age, would you say you are physically more active, less active, or about as active? - Is that (a lot more or a little more active/a lot less or a little less active)?",,,,,same as 629,,
632,,,,"Compared to your own level of physical activity 1 year ago, would you say you are now more active, less active, or about the same as you were then?",,,active,physically,,,
633,,,,"Compared to your own level of physical activity 1 year ago, would you say you are now more active, less active, or about the same as you were then? - Is that (a lot more or a little more active/a lot less or a little less active)?",,,,,same as 632,,
634,,,,"How much control do you think YOU have over your future health? Would you say you have a great deal of control, some, very little, or none at all?",,,control over health,,,,
635,,,,"Do you feel that you get as much exercise as you need, or less than you need?",,,feeling towards exercise,,,,
636,,,,Do you follow a REGULAR routine of physical exercise?,physical exercise,,,,,,
637,,,,"How often do you walk a mile or more at a time, without resting? (Note: One mile equals 8Ð12 blocks.) Probe if necessary: About how many days a week is that?",walking,,,,,,
638,,,,Have you increased your physical activity to lose weight?,physical activity,,,lose weight,,,
639,,,,"In the past 2 weeks (outlined on that calendar), beginning Monday (date) and ending this past Sunday (date), have you done any exercises, sports, or physically active hobbies?",have you done,,,"exercise, sports, physically active hobbies",,,
640,,,,"In the past 2 weeks (outlined on that calendar), beginning Monday (date) and ending this past Sunday (date), have you done any exercises, sports, or physically active hobbies? What were they? Record on next page, THEN 1c",have you done,,,"exercise, sports, physically active hobbies",,,
641,,,,Do you exercise or play sports regularly?,exercise or play sports,,,,,,
642,,,,For how long have you exercised or played sports regularly?,exercise or play sports,,,,,,
643,,,,"How much hard physical work is required on your job? Would you say a great deal, a moderate amount, a little, or none?",,work,,physical work,enviro or activity?,,
644,,,,About how many hours per day do you perform hard physical work on your job?,perform hard physical work,,,job,,,
645,,,,"How much hard physical work is required in your main daily activity? Would you say a great deal, a moderate amount, a little, or none?",hard physical work,,,,,,
646,,,,About how many hours per day do you perform hard physical work in your main daily activity?,hard physical work,,,,,,
647,,,,These next questions are about strengthening the heart and lungs through exercise. How many days a week do you think a person should exercise to strengthen the heart and lungs?,,,strengthen,"hearts, lungs, exercise",,,
648,,,,These next questions are about strengthening the heart and lungs through exercise. For how many minutes do you think a person should exercise on EACH occasion so that the heart and lungs are strengthened?,,,strengthen,"hearts, lungs, exercise",,,
649,,,,"Did your job require you to do REPEATED STRENUOUS PHYSICAL ACTIVITIES such as lifting, pushing or pulling heavy objects?",strenuous physical activities,,,"lifting, pushing, or pulling heavy objects",enviro or activity?,,
650,,,,"During a typical work day, how many minutes or hours altogether did you spend doing STRENUOUS PHYSICAL ACTIVITIES?",strenuous physical activities,,,work,,,
651,,,,"Did this job require you to do REPEATED bending, twisting or reaching?","repeated bending, twisting, or reaching",,,,,,
652,,,,"During a typical work day, how many minutes or hours altogether did you spend bending, twisting or reaching?","bending, twisting, or reaching",,,,,,
653,,,,Did this job require you to BEND or TWIST your hands or wrists MANY TIMES AN HOUR?,"bending, twisting",,,"hands, wrists",,,
654,,,,"During a typical work day, how many minutes or hour altogether did you spend bending or twisting your hands or wrists?","bending, twisting",,,"hands, wrists",,,
655,,,,"On this job, did you work with hand-held or hand-operated vibrating tools or machinery?",work,,,,,,
656,,,,"During a typical work day, how many minutes or hours altogether did you spend working with hand-held or hand-operated vibrating machinery?",working,,,,,,
657,,Neighborhood Physical Activity Questionnaire (NPAQ),http://www.sph.uwa.edu.au/research/cbeh/projects/?a=382545,"In a USUAL WEEK, do you walk in or around your new neighbourhood or new local area to get to or from somewhere (such as walking to a shop or to public transport) or for recreation, health or fitness (including walking your dog)?",walking,,,"recreation, health, ftienss, dog",,,
658,,,," In a USUAL WEEK, how many times do you walk as a means of transport, such as going to and from work, walking to the shop or walking to public transport in your neighbourhood or local area?",walking,,,"work, shopping, transport",,,
659,,,,Please estimate the total time you spend walking as a means of transport in your neighbourhood or local area in a USUAL WEEK. (eg. 5 times by 10 minutes = 50 minutes).,walking,,,transport,,,
660,,,,Tick all the places where you walk to as a means of transport in or around your neighbourhood or local area in a USUAL WEEK; To or from work [or study] ,wakling,,,"transport, work",,,
661,,,,Tick all the places where you walk to as a means of transport in or around your neighbourhood or local area in a USUAL WEEK; To or from public transport ,walking,,,transport,,,
662,,,,Tick all the places where you walk to as a means of transport in or around your neighbourhood or local area in a USUAL WEEK; To or from shops (1) ,walking,,,shops,,,
663,,,,Tick all the places where you walk to as a means of transport in or around your neighbourhood or local area in a USUAL WEEK; To or from school ,walking,,,school,,,
664,,,,Tick all the places where you walk to as a means of transport in or around your neighbourhood or local area in a USUAL WEEK; To or from cafŽ or restaurant ,walking,,,"cafŽ, restaurant",,,
665,,,,Tick all the places where you walk to as a means of transport in or around your neighbourhood or local area in a USUAL WEEK;To or from friendÕs house,walking,,,friend's house,,,
666,,,,"In a USUAL WEEK, how many times do you walk for recreation, health or fitness (including walking your dog) in or around your neighbourhood or local area?",walking,,,"recreation, health, ftienss, dog",,,
667,,,,"Please estimate the total time you spend walking for recreation, health or fitness in or around your neighbourhood or local area in a USUAL WEEK. (",walking,,,"recreation, health, fitness",,,
668,,,,"Please tick all the places where you walk for recreation, health or fitness in or around your neighbourhood or local area in a USUAL WEEK; Beach",walking,,,"recreation, health, fitness",,,
669,,,,"Please tick all the places where you walk for recreation, health or fitness in or around your neighbourhood or local area in a USUAL WEEK; Park, oval or bushlands (1) ",,,,too similar?not different types of fitness rather different types of locations,,,
670,,,,"Please tick all the places where you walk for recreation, health or fitness in or around your neighbourhood or local area in a USUAL WEEK; Around the neighbourhood using the streets/footpaths (no
specific destination) 
",,,,,,,
671,,,,"Please tick all the places where you walk for recreation, health or fitness in or around your neighbourhood or local area in a USUAL WEEK; Walking trails/paths NOT in a park or beach ",,,,,,,
672,,,,"Please tick all the places where you walk for recreation, health or fitness in or around your neighbourhood or local area in a USUAL WEEK; To or from cafŽ or restaurant",,,,,,,
673,,,,"Please tick all the places where you walk for recreation, health or fitness in or around your neighbourhood or local area in a USUAL WEEK; To or from a shop ",,,,,,,
674,,,,"In a USUAL WEEK, do you walk outside your neighbourhood or local area to get to or from somewhere (such as walking to a shop or to public transport) or for recreation, health or fitness (including walking your dog)?",,,,,,,
675,,,,"In a USUAL WEEK, how many times do you walk as a means of transport, such as going to and from work, walking to the shop or walking to public transport outside your neighbourhood or local area?",,,,,,,
676,,,,Please estimate the total time you spend walking as a means of transport outside your neighbourhood or local area in a USUAL WEEK.,,,,,,,
677,,,,"In a USUAL WEEK, do you do any other vigorous or moderate intensity leisure time physical activities? Do not include any walking or cycling.",vigorous or moderate physical activities,,,"leisure, walking, cycling",,,
678,,,,"In a USUAL WEEK, do you do any vigorous intensity leisure time physical activities like jogging, aerobics or competitive tennis? Do not include walking or cycling or moderate intensity physical activities. Vigorous intensity physical activities make you breathe harder or puff and pant.",vigorous or moderate physical activities,,,"leisure, walking, cycling, jogging, aerobics, tennis",,,
679,,,,"In a USUAL WEEK, how many times do you do vigorous intensity leisure time physical activities which makes you breathe harder or puff and pant?",,,breathe harder or puff and pant,"vigorous intensity, leisure, physical activity",,,
680,,,,What do you estimate is the total time you spend doing vigorous intensity leisure time physical activities in a USUAL WEEK? (Eg. 3 times for 20 minutes = 60 minutes),vigorous intensity physical activities,,,leisure,,,
681,,,,"Apart from what you have already mentioned, in a USUAL WEEK do you do any other moderate intensity leisure time physical activities like gentle swimming, social tennis, golf or heavy gardening? Moderate intensity physical activities do not make you breathe harder or puff and pant.",moderate intensity physical activities,,,"leisure, swimming, tennis, golf, gardening",,,
682,,,,"In a USUAL WEEK, how many times do you do moderate intensity leisure time physical activities which do not make you breathe harder or puff and pant?",,,breathe harder or puff and pant,"moderate intensity, leisure, physical activity",,,
683,,,,What do you estimate is the total time you spend doing moderate intensity leisure time physical activities in a USUAL WEEK? (Eg. 1 time for 1 hour = 1 hour),moderate intensity physical activities,,,leisure,,,
684,,California Health Interview Survey (CHIS) 2009 Adult Questionnaire,Êhttp://www.chis.ucla.edu/pdf/CHIS2009adultquestionnaire.pdf,"ÊDuring theÊpast 7 days, did you walk to get some place that took youÊat least 10 minutes?",walking,,,,,,
685,,,,"ÊIn the past 7 days, how many times did you do that? [IF NEEDED, SAY: ""Walk for at least 10 minutes to get some place.""]",walking,,,,,,
686,,,,"Ê{How long did that walk take/On average, how long did those walks take}?",walking,,,,,,
687,,,,"ÊSometimes you may walk for fun, relaxation, exercise, or to walk the dog. During the past 7 days, did you walk for at least 10 minutes for any of these reasons? {Please do not include walking for transportation.}",walking,,,"fun, relaxation, dog",,,
688,,,,"ÊIn the past 7 days, how many times did you do that? [IF NEEDED, SAY: ""Walk for at least 10 minutes for fun, relaxation, exercise, or to walk the dog.""]",doing,,,"walking, exercise, dog, fun",,,
689,,,,"The next questions are about physical activities or exercise you may do in your free time for at least 10 minutes, other than walking. First, think about activities that take moderate physical effort, such as bicycling, dancing, swimming, and gardening. During the last 7 days, did you do any moderate physical activities in your free time for at least 10 minutes, other than walking?",moderate physical activities,,,"bicycling, dancing, swimming, gardening",,,
690,,,,"Êthink about activities that take moderate physical effort, such as bicycling, dancing, swimming, and gardening. During the last 7 days, did you do any moderate physical activities in your free time for at least 10 minutes, other than walking? On how many days did you do this?",moderate physical activities,,,"bicycling, dancing, swimming, gardening",very similar to 689,,
691,,,,"Êthink about vigorous activities you did in your free time that take hard physical effort, such as aerobics, running, soccer, fast bicycling, or fast swimming. Again, do not include walking. During the last 7 days, did you do any vigorous physical activities in your free time?",vigorous physical activities,,,"aerobics, running, soccer, bicycling, swimming",,,
692,,,,"Êthink about vigorous activities you did in your free time that take hard physical effort, such as aerobics, running, soccer, fast bicycling, or fast swimming. Again, do not include walking. During the last 7 days, did you do any vigorous physical activities in your free time; On how many days did you do this?",vigorous physical activities,,,"aerobics, running, soccer, bicycling, swimming",similar to 691,,
693,,,,"Êthink about vigorous activities you did in your free time that take hard physical effort, such as aerobics, running, soccer, fast bicycling, or fast swimming. Again, do not include walking. During the last 7 days, did you do any vigorous physical activities in your free time; How much time did you {usually} spend on {one of those days/that day} doing vigorous physical activities in your free time?",vigorous physical activities,,,"aerobics, running, soccer, bicycling, swimming, free time",,,
694,,,,"Do you have a condition that substantially limits one or more basic physical activities such as walking, climbing stairs, reaching, lifting, or carrying?",,,limiting condition,"basic physical activities, walking, climbing stairs, reaching, lifting, carrying",,,
695,,Behavioral Risk Factor Surveillance System Questionnaire - 2011,http://www.cdc.gov/brfss/questionnaires/pdf-ques/2011brfss.pdf,How many times per week or per month did you take part in this activity during the past month?,activity,,,,,,
696,,Arab Teens Lifestyle Study (ATLS) Questionnaire,http://appliedresearch.cancer.gov/paq/q106.html,How many times per week do you regularly cycle (either on an outdoor or a stationary cycle)?,cycling,,,,,,
697,,,,"How many times per DAY you use the stairs in school, home, or elsewhere? (one floor of stair counts as 1 time)",stair usage,,,,,,
698,,,,How many times per week do you regularly walk?,walking,,,,,,
699,,,,"If you regularly walk, what is the pace of your walk?",walking,,,,,,
700,,,,"If you regularly walk, how many minutes do you walk each time? Number of minutes: ___",walking,,,,,,
701,,,,"If you use an outdoor or a stationary cycle regularly, how many minutes do you cycle each time?",cycling,,,,,,
702,,,,How many times per week do you regularly swim?,swimming,,,,,,
703,,Australian Women's Activity Survey,http://appliedresearch.cancer.gov/paq/q105.html,"In a typical week do you do any planned activities of LIGHT EFFORT such as slow walking, stretching, fishing, playing in water or playing golf with a cart?",activities of light effort,,,"walking, stretching, fishing, playing in water, golf",,,
704,,,,"In a typical week do you do any planned activities of LIGHT EFFORT such as slow walking, stretching, fishing, playing in water or playing golf with a cart; If Yes. Just thinking about the weekdays from Monday to Friday. How many days would you do this activity? On an average weekday how long would you spend doing this activity?",activities of light effort,,,"walking, stretching, fishing, playing in water, golf",,,
705,,,,Just thinking about the weekend from Saturday to Sunday. How many days would you do this activity? On an average weekend day how long would you spend doing this activity?,activities,,,,,,
706,,,,"In a typical week do you do any planned activities of LIGHT EFFORT such as slow walking, stretching, fishing, playing in water or playing golf with a cart; In a typical week do you do any planned activities that involve BRISK WALKING such as walking for exercise or walking the dog?",activities of light effort,,,"walking, stretching, fishing, playing in water, golf, exercise, dog",,,
707,,,,In a typical week do you do any planned activities that involve BRISK WALKING such as walking for exercise or walking the dog; If Yes. Just thinking about the weekdays from Monday to Friday. How many days would you do this activity? On an average weekday how long would you spend doing this activity?,activities,,,"walking, exercise, dog",,,
708,,,,In a typical week do you do any planned activities that involve BRISK WALKING such as walking for exercise or walking the dog; Just thinking about the weekend from Saturday to Sunday. How many days would you do this activity? On an average weekend day how long would you spend doing this activity?,activities,,,"walking, exercise, dog",,,
709,,,,"In a typical week do you do any planned activities MODERATE EFFORT that do not include brisk walking such as social sports, tai chi, doubles tennis, slow cycling, low-impact aerobics, ballroom dancing or play golf without a cart?",activities of moderate effort,,,"walking, social sports, tai chi, doubles tennis, cycling, aerobics, ballroom dancing, golf",,,
710,,,,"In a typical week do you do any planned activities MODERATE EFFORT that do not include brisk walking such as social sports, tai chi, doubles tennis, slow cycling, low-impact aerobics, ballroom dancing or play golf without a cart; If Yes. Just thinking about the weekdays from Monday to Friday. How many days would you do this activity? On an average weekday how long would you spend doing this activity?",activities of moderate effort,,,"walking, social sports, tai chi, doubles tennis, cycling, aerobics, ballroom dancing, golf",,,
711,,,,"In a typical week do you do any planned activities MODERATE EFFORT that do not include brisk walking such as social sports, tai chi, doubles tennis, slow cycling, low-impact aerobics, ballroom dancing or play golf without a cart; Just thinking about the weekend from Saturday to Sunday. How many days would you do this activity? On an average weekend day how long would you spend doing this activity?",activities of moderate effort,,,"walking, social sports, tai chi, doubles tennis, cycling, aerobics, ballroom dancing, golf",,,
712,,,,"In a typical week do you do any work-related activities of MODERATE EFFORT such as mostly brisk walking like teaching, nursing or waiting tables",work-related activities of moderate effort,,,"walking, teaching, nursing, waiting tables",,,
713,,,,"In a typical week do you do any work-related activities of MODERATE EFFORT such as mostly brisk walking like teaching, nursing or waiting tables; If Yes. Just thinking about the weekdays from Monday to Friday. How many days would you do this activity? On an average weekday how long would you spend doing this activity?",work-related activities of moderate effort,,,"walking, teaching, nursing, waiting tables",,,
714,,,,"In a typical week do you do any work-related activities of MODERATE EFFORT such as mostly brisk walking like teaching, nursing or waiting tables; Just thinking about the weekend from Saturday to Sunday. How many days would you do this activity? On an average weekend day how long would you spend doing this activity?",work-related activities of moderate effort,,,"walking, teaching, nursing, waiting tables",,,
715,,,,In a typical week do you do any transport-related activities of LIGHT EFFORT such walking slowly?,activities of light effort,,,walking,,,
716,,,,In a typical week do you do any transport-related activities of LIGHT EFFORT such walking slowly; If Yes. Just thinking about the weekdays from Monday to Friday. How many days would you do this activity? On an average weekday how long would you spend doing this activity?,activities of light effort,,,walking,,,
717,,,,In a typical week do you do any transport-related activities of LIGHT EFFORT such walking slowly; Just thinking about the weekend from Saturday to Sunday. How many days would you do this activity? On an average weekend day how long would you spend doing this activity?,activities of light effort,,,walking,,,
718,,,,In a typical week do you do any transport-related activities that involve BRISK WALKING such as walking to get places or walking to the bus?,transport - related activities,,,walking,,,
719,,,,In a typical week do you do any transport-related activities that involve BRISK WALKING such as walking to get places or walking to the bus; If Yes. Just thinking about the weekdays from Monday to Friday. How many days would you do this activity? On an average weekday how long would you spend doing this activity?,transport - related activities,,,walking,,,
720,,,,In a typical week do you do any transport-related activities that involve BRISK WALKING such as walking to get places or walking to the bus; Just thinking about the weekend from Saturday to Sunday. How many days would you do this activity? On an average weekend day how long would you spend doing this activity?,transport - related activities,,,walking,,,
721,,,,In a typical week do you do any transport-related activities of MODERATE EFFORT such as riding a bike or riding a push scooter?,transport - related activities of moderate effort,,,"bicycling, pushing scooter",,,
722,,,,In a typical week do you do any transport-related activities of MODERATE EFFORT such as riding a bike or riding a push scooter; If Yes. Just thinking about the weekdays from Monday to Friday. How many days would you do this activity? On an average weekday how long would you spend doing this activity?,transport - related activities of moderate effort,,,"bicycling, pushing scooter",,,
723,,,,In a typical week do you do any transport-related activities of MODERATE EFFORT such as riding a bike or riding a push scooter; Just thinking about the weekend from Saturday to Sunday. How many days would you do this activity? On an average weekend day how long would you spend doing this activity?,transport - related activities of moderate effort,,,"bicycling, pushing scooter",,,
