id,variable descriptions
phv00142505.v1 , NHS/HPFS/GEP: Unique GENEVA ID 
phv00059858.v2 ," 1:Rx for high LDL,0:No Rx, visit 1 "
phv00031767.v1 , CBL5: Lipid test - 24: collection date 
phv00050429.v1 ," B8e1. Health care delivery. During the past 6 months have you had laboratory test: stress test, how many times "
phv00010841.v1 , Total score for cognitive function test 
phv00033379.v1 , Blood glucose profile analysis date (quarterly visit 33) 
phv00064611.v2 , 4CH VIEW ED MID RV 
phv00149277.v1 , RIGHT LUNG: TOTAL VOLUME OF THIS LUNG REGION (ml) 
phv00142180.v2 ," RNA LEVELS: CACNB2, Run3, Platelet (TaqmanAssayID : Hs00167861_m1) "
phv00033357.v1 , Blood glucose profile analysis date (quarterly visit 32) 
phv00171683.v1 , Year of the most recent study visit for which we have Total cholesterol 
phv00162609.v2 , DERIVED FIELD:OTHER FISH 
phv00062002.v2 ," 1:Rx for high LDL,0:No Rx, visit 1 "
phv00061568.v2 ," 1:Rx for high LDL, 0:No Rx, visit 3 "
phv00059264.v2 ," 1:Rx for high LDL, 0:No Rx, visit 3 "
phv00151530.v3 ," RIGHT LUNG, LOWER PEEL: TOTAL VOLUME OF AIR IN THIS LUNG REGION (ml) "
phv00060025.v2 ," 1:Rx for high LDL, 0:No Rx, visit 2 "
phv00076122.v1 , Total cholesterol >= 200 OR Triglycerides >= 150 OR HDL cholesterol <= 40 OR 'C49488=Yes' (taking) lipid lowering medications 
phv00105799.v1 , CAN PTT DO A TANDEM STAND 
phv00166823.v2 , Thyroxine 
phv00170076.v1 , CK-MB within norm % or index 
phv00092995.v1 , Plaque/shadowing in the left common 
phv00050685.v1 , B6ib2. Health care delivery. Other major tests: paid by insurance 
phv00027393.v1 , CBL2: Lipid test - 22: triglyceride (serum) value  (mg/dl) 
phv00163981.v1 , Age in years at Fibrinogen measurement 
phv00088077.v1 , GENEVA ID 
phv00032680.v1 , Pre-lunch blood glucose at OD 340 (close-out) 
phv00124418.v1 ," Red blood cell width distribution, variance in percentage "
phv00143478.v3 , RIGHT LUNG: TOTAL VOLUME OF THIS LUNG REGION (ml) 
phv00115697.v2 , REPRODUCIBILITY OF MAX FEV1 (VOLUME DIF) 
phv00030723.v1 ," Serum creatinine value (mg/dl, form 23b) "
phv00024789.v3 , EFFECTIVE REFLECTION DISTANCE (MM)  CALCULATED: CFPWV C0TI/2 
phv00056561.v3 , From recorder: Start test - minute 
phv00063737.v2 ," 1:Rx for high LDL, 0:No Rx, visit 2 "
phv00171665.v1 , Year of the most recent study visit for which we have Leptin concentration 
phv00146009.v1 ," RIGHT LUNG, UPPER CORE: TOTAL VOLUME OF THIS LUNG REGION (ml) "
phv00061433.v2 ," 1:Rx for high LDL, 0:No Rx, visit 2 "
phv00051755.v1 ," EQUIVALENT ALCOHOL OZ (PER WEEK), EXAM2 "
phv00165226.v1 , Monocytes in absolute numbers at designated visit (may not be baseline). 
phv00163886.v2 , :TEL-AML1: For FISH tested indicate % 
phv00162386.v2 , Derived field: Nutrient value - Glutamate 
phv00143977.v3 ," RIGHT LUNG, UPPER CORE: TOTAL VOLUME OF TISSUE IN THIS LUNG REGION (ml) "
phv00142178.v2 ," RNA LEVELS: B2M, Run3, Platelet (TaqmanAssayID : Hs99999907_m1) "
phv00156427.v2 , Dietary Vitamin B6 (mg) 
phv00050676.v1 , B8h3. Health care delivery. Urine tests: paid by other insurance 
phv00128717.v1 ," REASON FOR MISSING DATA: ESTIMATED %CD8, AS A PERCENT OF LYMPHOCYTES "
phv00163552.v1 , Fasting glucose 
phv00063904.v2 ," 1:Rx for high LDL, 0:No Rx, visit 3 "
phv00113708.v2 , CHOLESTEROL ANALYSIS DATE 
phv00012019.v1 , E8a. Please tell me more about these periods we've just discussed. DURATION (WEEKS). (Participants with European ancestry). DIGS2 
phv00030729.v1 , Within-profile mean blood glucose value (mg/dl) 
phv00121977.v1 , The chip a sample was genotyped on (Platform) 
phv00172254.v1 , Fructose + glucose + galactose 
phv00031007.v1 , CBL9: 24-hr urine: creatinine/urine: value (mg/dl) 
phv00124417.v1 , Mean corpuscular hemoglobin concentration in grams per deciliter 
phv00167746.v1 , Latent Class Analysis (LCA) assigned HIV risk group used in frequency matching 
phv00032836.v1 , Post-lunch blood glucose mg/dl (quarterly visit 08) 
phv00048507.v1 , GFR (glomerular filtration rate) urine-volume: t-1 
phv00025651.v1 , Diabetes monitoring (three or more daily injections or infusion pump): blood test(s) done before lunch 
phv00163486.v1 , Lead aVR measurement 3 
phv00012162.v1 , F35. Did this episode follow increased use of alcohol? IF YES: specify. MOST SEVERE EPISODE. (Participants with European ancestry). DIGS2 
phv00073544.v2 , Sample genotyping instance ID 
phv00126354.v1 , LFFQ: niacin (mg) 
phv00033162.v1 , Post-breakfast blood glucose mg/dl (quarterly visit 23) 
phv00032886.v1 , Bedtime blood glucose mg/dl (quarterly visit 10) 
phv00054359.v1 , SNP genotyping success rate: Y = at least 95% SNP genotyping success rate. (African American participants) 
phv00051127.v1 , C5. Diagnostic tests performed. Result of test 1 
phv00032771.v1 , Post-lunch blood glucose at OD 340 (quarterly visit 05) 
phv00129480.v2 , GENEVA ID 
phv00013757.v1 ," K70. Did the current/most recent episode follow increased or excessive use of alcohol? If yes, specify. (Participants with European ancestry). DIGS2 "
phv00122552.v1 , Drinks alcohol (C) 
phv00126484.v1 , RECALL: pantothenic acid 
phv00020973.v4 , IF EVER CONSUMED ALCOHOL: DO YOU DRINK WHITE WINE AT LEAST ONCE A MONTH? 
phv00033264.v1 , Blood glucose profile 8 - mg/dl (quarterly visit 27) 
phv00094435.v1 , MEAN CORPUSCULAR VOLUME (MCV)     Q13 
phv00098327.v1 , Retinol IU 
phv00066356.v1 , Fasting Blood Sugar 
phv00001401.v1 ," BLOOD ANALYSIS, FASTING: BETA CHOLESTEROL (MG/100 ML) "
phv00055889.v3 , Restricted analysis: scoring ended before lights on/awake? 
phv00081028.v1 , Albumin/Globulin Ratio 
phv00147543.v2 ," RIGHT LUNG, LOWER CORE: TOTAL VOLUME OF THIS LUNG REGION (ml) "
phv00144859.v1 ," BOTH LUNGS, PEEL: TOTAL VOLUME OF THIS LUNG REGION (ml) "
phv00002702.v1 , INTERIM HISTORY OF MEDICINE USED: ANTI-CHOLESTEROL AGENTS 
phv00001587.v1 ," BLOOD ANALYSIS: FASTING LIPIDS, CHOLESTEROL - BOTTOM FRACTION (ALPHA + BETA) (SEE VARIABLE #47 FOR DECK 141 CHOLESTEROL VALUES RECORDED IN SERUM OR PLASMA UNITS.) "
phv00109264.v1 , DOES PTT USE AN ASSISTIVE DEVICE 
phv00124099.v1 , Adiponectin am (pg/mL) 
phv00031219.v1 , Diabetes monitoring - one or two daily injection(s): blood test(s) should have done before breakfast 
phv00032641.v1 , Pre-supper blood glucose at OD 340 (quarterly visit 00) 
phv00158290.v1 , FFQ: CANNED TUNA FISH (3-4 OZ) 
phv00032774.v1 , Post-supper blood glucose mg/dl (quarterly visit 05) 
phv00027382.v1 , CBL2: Renal test - 16: creatinine (urine) value  (mg/dl) 
phv00050651.v1 , B8c3. Health care delivery. Other blood tests: paid other insurance 
phv00052757.v1 ," J41.0 Select opiates, (African American participants). DIGS4 "
phv00033033.v1 , Pre-lunch blood glucose at OD 340 (quarterly visit 17) 
phv00088326.v1 , HVLT - R (Hopkins Verbal Learning Test - Revised) learning trail #2 
phv00025665.v1 , Diabetes monitoring (one or two daily injection[s]): blood test(s) done before lunch 
phv00161369.v3 , PHENOTYPE SAMPLE WAS SEQUENCED FOR 
phv00090101.v1 , NEW PHANTOM: MEAN 3 (CALCULATED) 
phv00126331.v1 , LFFQ: glucose (gm) 
phv00033789.v1 , Quarterly visit number of recovery from soft exudate (se) and/or intra-retinal microvascular abnormalities (irma) 
phv00123982.v1 ," ISI (0,120) = Metabolic clearance rate / log (Mean Serum Insulin) "
phv00063090.v2 ," 1:Rx for high LDL,0:No Rx, visit 1 "
phv00033744.v1 , Recovery from soft exudate (se) and/or intraretinal microvascular abnormalities (irma) 
phv00055169.v2 ," IF TEST NOT DONE, REASON FOR EXCLUSION "
phv00073598.v1 ," Adjusted baseline total cholesterol (age 59, BMI 29, no estrogen) "
phv00062034.v2 ," 1:Rx for high LDL,0:No Rx, visit 1 "
phv00173553.v1 , Cell or tissue type or subtype of sample 
phv00018470.v1 , J48. Opiates.  (Participants with European ancestry). DIGS4 
phv00084974.v2 , TOTAL CHOLESTEROL (mg/dl) 
phv00032926.v1 , Pre-supper blood glucose mg/dl (quarterly visit 12) 
phv00031103.v1 , CBL8: Lipid test - 24: collection date 
phv00033297.v1 , Pre-lunch blood glucose at OD 340 (quarterly visit 29) 
phv00147442.v2 ," RIGHT LUNG, CORE: TOTAL VOLUME OF TISSUE IN THIS LUNG REGION (ml) "
phv00142341.v2 ," RNA LEVELS: FLJ36031, Run4, Platelet (TaqmanAssayID : Hs00703139_s1) "
phv00084975.v2 ," TOTAL CHOLESTEROL, NCEP CATEGORIES "
phv00169353.v1 , Percent emph (-950 Hu) total lung CT VIDA 
phv00026497.v1 , CBL00: GFR serum glucose - pre-injection (mg/dl) 
phv00142177.v2 ," RNA LEVELS: ATP2B1, Run3, Platelet (TaqmanAssayID : Hs00155949_m1) "
phv00033259.v1 , Post-supper blood glucose at OD 340 (quarterly visit 27) 
phv00117755.v2 , RETINOL (MCG) 
phv00145009.v1 ," LEFT LUNG, LOWER: TOTAL VOLUME OF THIS LUNG REGION (ml) "
phv00064578.v1 ," FRACTIONAL SHORTENING, CALCULATED: (LVDD20 - LVDS20)/LVDD20 "
phv00151781.v3 ," RIGHT LUNG, UPPER: TOTAL VOLUME OF TISSUE IN THIS LUNG REGION (ml) "
phv00027809.v1 , Weight > 120% calculated ideal: quarterly visit 24 
phv00082431.v1 , LEXICAL FAS: Other - Interpretation 
phv00090199.v1 , Age at time of dental exam 
phv00102450.v1 , SPECIFY OTHER REASON GTT NOT DONE 
phv00030904.v1 , Corrective lenses obtained by subjective refraction for distance (indicate if plus [+] or minus [-] were used): cylinder - left eye 
phv00003217.v1 , ECG: NON-SPECIFIC S-T SEGMENT ABNORMALITY 
phv00000861.v1 ," X-RAY: AORTA TORTUOUS, DESCENDING, EXAM 6 "
phv00031058.v1 , CBL8: GFR gamma count urine - background 
phv00142448.v1 , Vertebral Thoracic Level 11 Reading for Follow-up X-ray 
phv00098453.v1 , Mother's age at OGTT 
phv00032224.v1 , WAIS  information: total number of correct responses 
phv00023346.v3 ," LEAD V3, Q  WAVE VOLTAGE "
phv00050668.v1 , B8g. Health care delivery. Chest x-ray: seen past 6 months 
phv00065362.v2 , WHOLEBODY LUMBAR BMD EX23 (GRAMS/CM2) 
phv00032467.v1 ," Total vitamin A (xs, i.e. excluding dietary supplements) (iu) - Note: In a number of instances fairly large values were recorded.  Data users should be aware that these values are likely to  represent measurement or data recoding errors. "
phv00001503.v1 , BREAST EXAMINATION: AXILLARY NODES 
phv00051567.v1 , D1d. Post mortem information and diagnosis. Reason autopsy was not performed 
phv00030997.v1 , CBL9: GFR gamma count serum - pre-injection 
phv00106944.v1 , WAS GRIP STRENGTH TEST DONE 
phv00097739.v1 , MAX FAR WALL WIDTH(QC SCAN 01) 
phv00008664.v3 , ECG: R PLUS S GREATER THAN OR EQUAL TO 35 MM IN PRECORDIAL LEAD LVH CRITERIA 
phv00161432.v1 , Historic (estimated) glomerular filtration rate 
phv00023357.v3 ," LEAD V4, R  WAVE VOLTAGE "
phv00155327.v2 ," QRS deflection balance (maximum of R or R') + (maximum of QAMP, SAMP, or S'AMP), lead qrsd_avf "
phv00123704.v1 , ECG: II: STM 
phv00161225.v1 ," Total QRS Area, Lead I (uVmSec) "
phv00020602.v1 , Inventory of Depression Severity (IDS) depression item 21: Feeling slowed down 
phv00023344.v3 ," LEAD V2, QRS AREA WAVE VOLTAGE "
phv00023442.v3 ," LEAD V1, S  WAVE DURATION "
phv00023864.v2 ," Femur scan side, Exam 24 "
phv00028517.v1 , CBL7: GFR gamma count urine - background 
phv00008121.v3 , ECG: STUDY 
phv00117951.v2 , CAT SCAN SINCE LST CARDIA XM - MON 96 
phv00006690.v1 , MMSE: OTHER (OTHER THAN THOSE LISTED ABOVE) (FACTORS POTENTIALLY AFFECTING MENTAL STATUS) 
phv00111389.v2 , Positive exercise test 
phv00071256.v2 , No. of core skin tests (all tests) at Follow-up 
phv00129568.v2 , Heart problem [Exam 6]? 
phv00170104.v1 , CHF Pulmonary edema chest X-ray this admit 
phv00027364.v1 , CBL2: Repeat evaluation for GFR tests 
phv00154935.v2 ," P wave area, lead bpa_i "
phv00072641.v2 , If no (0) or partial (2) to PDONE: PAT scan deviation was caused by an other problem. 
phv00009028.v3 , ECG DONE 
phv00092252.v1 , Bleeding on Probing (BL) measure for Mesiolingual (ML) of tooth number 32 
phv00050143.v1 , C1b. Neuropathy screening instrument: appearance of feet (right) deformities 
phv00123696.v1 , ECG: II: RA 
phv00071944.v1 , Test date - doppler ultrasound 
phv00031578.v1 , CBL4: Repeat evaluation for GFR tests 
phv00120911.v2 , POSITIVE SCAN AGATSTON ADJUSTED SCORE 
phv00128210.v1 ," BEST_FEV1 - Forced expiratory volume in 1 second, FEV1.0 from the best curve: measured in liters "
phv00106680.v1 , DEPRESSION SCALE TOTAL 
phv00100785.v1 , CORONARY BYPASS SURGERY AT BL 
phv00021375.v4 , 1ST NP BIO PARENT - DID YOUR PARENT EVER HAVE A PROCEDURE TO UNBLOCK BLOOD VESSELS IN THE NECK (SUCH AS CAROTID ENDARTERECTOMY)? 
phv00000822.v1 ," ECG: ARRHYTHMIA, EXAM 5 "
phv00072351.v2 , REASON POST BRONCHODILATOR SPIROMETRY NOT DONE 
phv00070970.v1 , Baseline FEV1 PC20 methacholine 
phv00121709.v1 , STATUS OF ECG'S 
phv00121334.v2 , PAD BASED ON POS EXERCISE TEST 
phv00004002.v1 , ECG: P-R INTERVAL (HUNDREDTHS OF SECOND) 
phv00001427.v1 , X-RAY: (AFTER) RIGHT VENTRICULAR HYPERTROPHY 
phv00001009.v1 ," ECG: LEFT VENTRICULAR HYPERTROPHY, EXAM 7 "
phv00007498.v1 , ECG LVH: R > 11 MM IN AVL 
phv00127310.v1 , QRS_V4 - QRS- Amplitude in lead V4 
phv00084550.v2 ," MINOR Q, QS WAVES WITH ST-T ABNORMALITIES "
phv00093654.v1 , ST SEG ELEV (92X) V1-V5      - FUP ECG 
phv00065512.v1 , Lean mass from total body scan 
phv00053928.v2 , NEW DIAGNOSIS OF HEART DISEASE SINCE LAST STUDY VISIT (ALL PARTICIPANTS) 
phv00008675.v3 , ECG: CLINICAL READING 
phv00161214.v1 , Special T Wave Amplitude = the Minimum of either T Amplitude or the T Amplitude - STE. Lead II (uV) 
phv00001428.v1 , X-RAY: (AFTER) ABNORMAL CONTOUR OTHER THAN ENLARGEMENT 
phv00049744.v1 , F. Ophthalmoscopic examination: why do you not plan photocoagulation in the eye(s) with high risk characteristics? Unable to laser left eye - other reason 
phv00034560.v1 , MNSI (Michigan Neuropathy Screening Instrument): patient score > 6 
phv00089404.v1 ," Date of MRI, 1st MRI "
phv00009058.v3 , ECG: ST DEPRESSION 
phv00030383.v1 , CBL3: GFR gamma count serum - t1 
phv00161738.v1 , Spine at L2 bone mineral density 
phv00118863.v2 ," FORCED VITAL CAPACITY, TRIAL #3 "
phv00016306.v1 ," K79.a. SAM - Odd After Weeks, (Participants with European ancestry). DIGS3 "
phv00167797.v1 ," Mean total cholesterol level in blood collected at screening and enrollment visits, mg/dL "
phv00005871.v1 , ECG: VENTRICULAR PREMATURE BEATS 
phv00023355.v3 ," LEAD V3, R WAVE NTCH WV VOLTAGE "
phv00090068.v1 , DAYS BETWEEN EXAM 2 / 3 SCAN AND EXAM 4 SCAN 
phv00064617.v2 ," CARDIAC MRI SCAN DATE, NUMBER OF DAYS SINCE EXAM 1 "
phv00001674.v1 , RESPIRATORY SYSTEM EXAMINATION: ABNORMAL BREATH SOUNDS 
phv00161067.v1 ," T Wave Area, Lead AVR (uVmSec) "
phv00007033.v1 , TYPE OF PROCEDURE DONE FOR CORONARY ARTERY ANGIOPLASTY 
phv00161215.v1 , Special T Wave Amplitude = the Minimum of either T Amplitude or the T Amplitude - STE. Lead III (uV) 
phv00101714.v1 , WAS GRIP STRENGTH TEST DONE 
phv00123616.v1 , ECG: V4: RA 
phv00095614.v1 , FEV(6) (liters) 
phv00002936.v1 ," ECG: VPD DURING EXERCISE (ALL VALUES MISSING, DATA NOT MEASURED IN CORE EXAM) "
phv00110305.v1 , 2ND GRIP STRENGTH (2) KG 
phv00007517.v1 , NON CARDIOVASCULAR DIAGNOSTIC 1ST EXAMINER OPINIONS - CHRONIC BRONCHITIS 
phv00081126.v1 , If other autopsy result - specify 
phv00116207.v2 , OBSERVATION NUMBER WITHIN ID 
phv00021166.v4 , ECG: NUMBER OF VENTRICULAR PREMATURE BEATS IN 
phv00000991.v1 ," CHEST EXAMINATION: SCOLIOSIS, EXAM 7 "
phv00114706.v2 , RATIO OF MAXIMUM FEV1 TO FVC 
phv00169395.v1 , FEV6 pre-bronch 
phv00159856.v2 , Pre/Post-bronch FEV1 volume change 
phv00090355.v2 , Date of CT Scan 
phv00001986.v1 , ECG: ATRIOVENTRICULAR BLOCK-INCOMPLETE 
phv00050190.v1 , C1b. Neuropathy screening instrument: appearance of feet (left) fissure 
phv00087723.v1 , SPIROMETRY COMPLETED 
phv00050440.v1 ," B8g2. Health care delivery. During the past 6 months have you had laboratory test: urine tests, number of visits paid for by insurance "
phv00164655.v1 ," Digoxin, for EKG group "
phv00084567.v2 , QRS INTERVAL (MSEC) 
phv00048485.v1 , GFR (glomerular filtration rate) raw count: urine-t5 
phv00066811.v2 , MEAN OF THE AORTIC VALVE SCORE (FROM MULTIPLE OBSERVERS) - SECOND SCAN 
phv00072014.v1 , Date of ECG for first sleep study 
phv00005882.v1 ," ECG: LEFT VENTRICULAR HYPERTROPHY CRITERIA S>=25MM, (R IN V5 OR V6) OR (S IN V1 OR V2) "
phv00031676.v1 ," Patient's performance rating: task 4 - test urine glucose - Clinitest, trial 1 "
phv00055067.v1 ," SLIT LAMP EXAM: LENS CHANGES: CORTICAL CUNEIFORM LENS CHANGES, O.D. "
phv00012185.v1 , F39b. Did you have at least one other episode when you were depressed for at least one week and had several of the symptoms you described? INTERVIEWER: symptom checklist maybe used as an aid in establishing a second episode. Mark YES or NO for each symptom. (Participants with European ancestry). DIGS2 
phv00114704.v2 , REPRODUCIBILITY OF MAX FEV1 (VOLUME DIF) 
phv00021759.v3 , OTOSCOPIC CHECK 
phv00118899.v2 ," FORCED VITAL CAPACITY, TRIAL #6 "
phv00024684.v3 ," VLDL PARTICLES SIZE 70+/-10 NM (EXPRESSED AS TG CONCENTRATIONS IN MG/DL) AND DETERMINED USING NMR, EXAM 4 "
phv00081101.v1 , Date of SCAN 
phv00111954.v2 , UAZ POSSIBLE ECG QT INTERVAL-ALTERING MEDICATION 
phv00017084.v1 , B5b. CAT scan. Head CAT scan? (Participants with European ancestry). DIGS4 
phv00000562.v1 ," X-RAY: NON-CARDIOVASCULAR ABNORMALITIES, EXAM 2 "
phv00090403.v1 , Which prescription treatment for acne was the subject undergoing at the time of sampling? 
phv00013006.v1 ," M79. How often do thoughts or feelings come into your mind which feel like they don't belong? Would you say often, sometimes, rarely, or never? (Participants with European ancestry). DIGS2 "
phv00096103.v1 , AGE STOPPED TAKING HORMONE 2        Q27 
phv00018456.v1 , J46. Other.  (Participants with European ancestry). DIGS4 
phv00164668.v1 , Age in years at urinary creatinine measurement 
phv00054354.v1 ," Individual identifier: 150 = KN ( the  Knowledge Networks web-enabled panel is a method for conducting Internet-based survey research with a U.S. representative probability sample), dash, then five digit ID#. (African American participants) "
phv00017059.v1 ," B1. OtherNeurologicalProblems, Yes/No.  (Participants with European ancestry). DIGS4 "
phv00052440.v1 ," G17b How long before, (African American participants). DIGS4 "
phv00036216.v1 , E9. Treatment (row 7).  (Participants with European ancestry). DIGS4 
phv00019257.v1 , S1k.  Break into house.  (Participants with European ancestry). DIGS4 
phv00046037.v1 ," Diagnostic confidence in DSM-IV BEFD5, (Participants with European ancestry). DIGS2 and 3 "
phv00016385.v1 ," M17. Time Get Over Neg Remarks, (Participants with European ancestry). DIGS3 "
phv00017036.v1 ," B1. HighBloodPressure, age.  (Participants with European ancestry). DIGS4 "
phv00077286.v1 , Age at the earliest indication of diabetes 
phv00045168.v1 , Age of onset of PD (Parkinson disease) symptoms: U = Unavailable 
phv00012821.v1 , J35. INTERVIEWER: code YES if at least two symptoms of the disturbance have persisted for at least one month or have occurred repeatedly over a longer period of time. (IF YES:) How old were you the first time at least two of these experiences occurred persist. (Participants with European ancestry). DIGS2 
phv00054472.v1 ," Were you ever afraid that you might faint, lose control, or embarrass yourself in other ways? (African American participants) "
phv00072464.v2 , FACTOR POTENTIALLY AFFECTING MENTAL STATUS TESTING: ILLITERATE OR LOW EDUCATION 
phv00012343.v1 ," G34. MIXED AFFECTIVE STATES: during any of these manic episodes, did you also experience any of these symptoms (MARK YES or NO FOR EACH SYMPTOM). Decreased concentration. (Participants with European ancestry). DIGS2 "
phv00116492.v2 , HIP: AGE AT EXAM 
phv00076431.v1 , Race of partipant 
phv00014993.v1 ," D15.b. Palpitations - Impair Cd, (Participants with European ancestry). DIGS3 "
phv00022940.v1 , Age onset of any  tobacco use 
phv00129492.v2 , Calculated age at Exam 6 
phv00012977.v1 ," M60a. I'd like to know how often you have experiences like this. The possible responses are often, sometimes, rarely, or never.  I communicate with other people using only my mind. Would you say often, sometimes, rarely, or never? (Participants with European ancestry). DIGS2 "
phv00060414.v2 , Simulation age at visit 3 
phv00161632.v1 , Age at Right Heart Catheterization test date. 
phv00044518.v1 ," Mania # Episodes, (Participants with European ancestry). DIGS4. Page2 "
phv00052286.v1 ," F36b Month of death, (African American participants). DIGS4 "
phv00052688.v1 ," J30b Continued to use, (African American participants). DIGS4 "
phv00123509.v1 , 95 Age Diagnosed -  Colitis/Crohn's 
phv00052089.v1 ," D2h Difficult to swallow, (African American participants). DIGS4 "
phv00013529.v1 , K25. Have you ever heard voices that described or commented on what you were doing or thinking? Drugs. (Participants with European ancestry). DIGS2 
phv00117046.v2 , AGE FIRST DIAGNOSED WITH ASTHMA. Q 14 
phv00012041.v1 , F6. Did you have a loss of appetite or did your appetite greatly increase? CURRENT EPISODE (PAST MONTH) (Participants with European ancestry). DIGS2 
phv00013307.v1 ," V5. Olfactory hallucinations: the patient reports experiencing unusual smells which no one else notices. See SAPS manual for detailed coding definitions (N. Andreason, 1984). (Participants with European ancestry). DIGS2 "
phv00122444.v1 , Infant age lung disease diagnosed (in months) 
phv00054557.v1 , Do you often feel 'fed-up'? (African American participants) 
phv00017009.v1 ," B1. Cancer, age.  (Participants with European ancestry). DIGS4 "
phv00053151.v1 ," P33a Upset about having fear, (African American participants). DIGS4 "
phv00052531.v1 ," G58a Cocaine, (African American participants). DIGS4 "
phv00112605.v2 , CHANGED JOBS FOR A WORSE ONE 
phv00014740.v1 ," B 4b. CAT Scan, (Participants with European ancestry). DIGS3 "
phv00070936.v1 , Gender of participant 
phv00019213.v1 , R10.  Continue despite debts.  (Participants with European ancestry). DIGS4 
phv00016985.v1 , A12. Military service. Have you ever been in the Military? (Participants with European ancestry). DIGS4 
phv00035221.v1 ," Please think about the time in your life when having to do these things was bothering you the most (doing or counting or checking something over and over, or in the same order). Did you tell a doctor about having to do these things?  (Participants with European ancestry) "
phv00012476.v1 ," I6a. During a typical week, on (day) how many drinks of  (type of beverage) do you have? How long in minutes does it take you to consume that amount? Friday; WINE; minutes. (Participants with European ancestry). DIGS2 "
phv00054461.v1 , Have you ever been very upset with yourself for having any of these fears (unreasonable strong fears)? (African American participants) 
phv00016913.v1 ," W25. Length of Int Reaction, (Participants with European ancestry). DIGS3 "
phv00017421.v1 , E6. Other drugs. (Participants with European ancestry). DIGS4 
phv00013828.v1 ," K91. During the period when you were feeling especially depressed when you were also having (psychotic symptoms), were you experiencing loss of interest/pleasure? (Participants with European ancestry). DIGS2 "
phv00013468.v1 , K13. Have you ever felt that you were being controlled or possessed by some outside force or person? Depression. (Participants with European ancestry). DIGS2 
phv00013402.v1 ," K2a. Are you currently experiencing psychotic symptoms? If YES, how long ago did this begin?  (Days). (Participants with European ancestry). DIGS2 "
phv00093933.v1 ," IF SO, AGE AT TIME OF HEART ATTCK Q22 "
phv00085554.v2 , EDUCATION: HIGHEST LEVEL COMPLETED 
phv00078398.v3 ," Job as operator, fabricator, laborer "
phv00118437.v2 , AGE DIAGNOSED-ANGINA. Q 8 
phv00035181.v1 ," When you have attacks: do you, or things around you, seem unreal? (Participants with European ancestry) "
phv00089945.v1 , Age at diagnosis 
phv00058430.v2 , Simulation age at visit 3 
phv00035110.v1 ," Have you ever have a period lasting one month or longer when most of the time you felt worried, tense, or anxious? (Participants with European ancestry) "
phv00071214.v2 , Race of participant 
phv00028646.v1 , Distress caused by: feeling shy or uneasy with opposite sex 
phv00058608.v2 , Simulation age at visit 1 
phv00007812.v3 , EMPLOYED MOST ADULT LIFE 
phv00017295.v1 , D2i. Having a seizure or convulsion (where you had staring spells or were unconscious and your body jerked)? (Participants with European ancestry). DIGS4 
phv00061231.v2 ," Gender 1: Male, 2: Female "
phv00025372.v1 , Similarities: age-corrected scaled score (WAIS for adults; WISC-R for adolescents; quarterly visit 28) 
phv00016526.v1 ," N1.b. ETOH/Drugs Right Before, (Participants with European ancestry). DIGS3 "
phv00010620.v3 ," IN THE LAST 12 MONTHS HAVE YOUR FINGERS BECOME WHITE WHEN YOU WERE NOT IN THE COLD, THAT IS AT NORMAL TEMPERATURE? (NORMAL = SUMMER) "
phv00053179.v1 ," P32 More anxious than should be, (African American participants). DIGS4 "
phv00053201.v1 ," Q5 Age, (African American participants). DIGS4 "
phv00116585.v2 , TYPE OF EMPLOYMENT. Q 5e 
phv00059087.v2 ," Gender 1: Male, 2: Female "
phv00094052.v1 , AGE WHEN UTERUS REMOVED           Q47 
phv00052164.v1 ," E6 Geodon, (African American participants). DIGS4 "
phv00019277.v1 , S7.  Quit multiple jobs.  (Participants with European ancestry). DIGS4 
phv00013504.v1 ," K18. Have you ever had any other thoughts or beliefs that others did not share or thought were odd, other than those we have just discussed? Mania. (Participants with European ancestry). DIGS2 "
phv00119882.v2 , AGE DIAGNOSED-COLON CANCER. Q 10 
phv00012914.v1 ," M35. If you were going to a public place tomorrow, do you think you would be watched? Would you say definitely, probably, probably not, or definitely not? (Participants with European ancestry). DIGS2 "
phv00013077.v1 , P6. Have you ever had to repeat some act over and over which you could not resist repeating in order to feel less anxious? Did you take any medication? (Participants with European ancestry). DIGS2 
phv00016080.v1 ," J53.e. Misc Use Jumpy/Nervous, (Participants with European ancestry). DIGS3 "
phv00014842.v1 ," C2.4. TICS - Count Backwards, (Participants with European ancestry). DIGS3 "
phv00090691.v1 , Sex 
phv00016255.v1 ," K70.b. Impaired Residual, (Participants with European ancestry). DIGS3 "
phv00096094.v1 , AGE STOPPED TAKING HORMONE 1        Q15 
phv00016009.v1 ," J47. Cocaine W/D 2 Sx's, (Participants with European ancestry). DIGS3 "
phv00016147.v1 ," K4. Psy Returned Normal 2 Mos, (Participants with European ancestry). DIGS3 "
phv00013244.v1 , S1f. Before you were 15 years old were you often mean to animals including pets or did you ever hurt an animal on purpose? (Participants with European ancestry). DIGS2 
phv00052896.v1 ," K32 Total, (African American participants). DIGS4 "
phv00013512.v1 ," K20. When you believed  any of  this (delusions), were you at all confused about where you were or the time of day? Did you have problems with your memory? (Participants with European ancestry). DIGS2 "
phv00018806.v1 , K66a.  Longest time they lasted.  (Participants with European ancestry). DIGS4 
